,StateCode,1990,2015,FactorChange,1990_pop,2015_pop,1990ProportionOfTotalConsumption,2015ProportionOfTotalConsumption,DifferenceOfProportion,1990ConsumptionPerCapita,2015ConsumptionPerCapita,ChangeConsumptionPerCapita
0,AL,483003,546367,1.13119,4.05e+06,4.854e+06,0.289998,0.286122,-0.00387558,0.11926,0.11256,-0.00669984
1,AR,266051,327611,1.23138,2.357e+06,2.978e+06,0.310838,0.310384,-0.000454045,0.112877,0.11001,-0.00286655
2,AZ,347299,530755,1.52824,3.684e+06,6.818e+06,0.369896,0.368615,-0.00128062,0.0942723,0.0778461,-0.0164261
3,CA,3.50697e+06,3.49168e+06,0.995639,2.996e+07,3.8994e+07,0.471041,0.454862,-0.0161787,0.117055,0.089544,-0.0275112
4,CO,326575,484154,1.48252,3.308e+06,5.449e+06,0.35006,0.327081,-0.0229789,0.0987228,0.0888519,-0.00987089
5,CT,439536,327342,0.744744,3.292e+06,3.585e+06,0.5721,0.435526,-0.136574,0.133516,0.0913088,-0.0422076
6,DE,139535,106377,0.762368,670000,944000,0.546245,0.38263,-0.163615,0.208261,0.112687,-0.0955737
7,FL,1.56757e+06,1.6884e+06,1.07708,1.3033e+07,2.0245e+07,0.477792,0.398049,-0.079743,0.120277,0.0833984,-0.0368783
8,GA,815682,917043,1.12427,6.513e+06,1.0199e+07,0.365826,0.321632,-0.0441933,0.125239,0.089915,-0.0353241
9,HI,292763,241701,0.825586,1.113e+06,1.425e+06,0.91084,0.855827,-0.0550125,0.26304,0.169615,-0.0934248
10,IA,304897,433318,1.42119,2.781e+06,3.122e+06,0.322345,0.289884,-0.0324616,0.109636,0.138795,0.0291593
11,ID,120137,178336,1.48444,1.012e+06,1.653e+06,0.296332,0.3401,0.0437686,0.118712,0.107886,-0.0108262
12,IL,1.10197e+06,1.3152e+06,1.1935,1.1453e+07,1.2839e+07,0.307712,0.333576,0.0258646,0.0962166,0.102438,0.00622157
13,IN,816542,803572,0.984116,5.558e+06,6.613e+06,0.327612,0.282315,-0.0452969,0.146913,0.121514,-0.0253989
14,KS,400748,354990,0.885819,2.481e+06,2.907e+06,0.375776,0.327896,-0.0478802,0.161527,0.122116,-0.0394112
15,KY,502009,607832,1.2108,3.694e+06,4.425e+06,0.343183,0.352269,0.00908625,0.135898,0.137363,0.00146468
16,LA,1.61683e+06,2.10088e+06,1.29938,4.222e+06,4.669e+06,0.419052,0.493293,0.0742413,0.382954,0.449965,0.0670106
17,MA,806247,585019,0.725608,6.023e+06,6.784e+06,0.57309,0.404897,-0.168193,0.133861,0.0862351,-0.0476263
18,MD,505878,497703,0.98384,4.8e+06,5.995e+06,0.398653,0.355638,-0.0430156,0.105391,0.0830197,-0.0223716
19,ME,247484,202725,0.819144,1.232e+06,1.329e+06,0.541218,0.499755,-0.0414636,0.20088,0.15254,-0.0483404
20,MI,872559,880095,1.00864,9.311e+06,9.918e+06,0.303593,0.318028,0.0144352,0.0937127,0.0887371,-0.00497556
21,MN,503176,594379,1.18125,4.39e+06,5.482e+06,0.359151,0.335822,-0.023329,0.114619,0.108424,-0.00619493
22,MO,586751,644903,1.09911,5.129e+06,6.076e+06,0.395476,0.353031,-0.0424449,0.114399,0.106139,-0.00825931
23,MS,374556,445123,1.1884,2.579e+06,2.989e+06,0.363996,0.392979,0.0289826,0.145233,0.14892,0.00368734
24,MT,142518,171028,1.20004,800000,1.032e+06,0.410064,0.436927,0.0268632,0.178147,0.165725,-0.0124227
25,NC,715890,826511,1.15452,6.664e+06,1.0035e+07,0.348254,0.327497,-0.0207564,0.107426,0.0823628,-0.0250636
26,ND,112126,198167,1.76736,638000,757000,0.358801,0.326167,-0.0326339,0.175746,0.261779,0.0860333
27,NE,205221,243161,1.18487,1.221e+06,2.884e+06,0.390523,0.285025,-0.105498,0.168076,0.0843138,-0.0837624
28,NH,159071,155987,0.980612,1.112e+06,1.33e+06,0.594758,0.511074,-0.0836838,0.143049,0.117283,-0.025766
29,NJ,1.12825e+06,1.01496e+06,0.899586,7.763e+06,8.935e+06,0.502373,0.44367,-0.0587035,0.145337,0.113594,-0.0317434
30,NM,211433,246516,1.16593,1.522e+06,2.08e+06,0.354492,0.364908,0.0104155,0.138918,0.118517,-0.0204006
31,NV,168955,230353,1.3634,1.582e+06,1.894e+06,0.419164,0.354641,-0.0645228,0.106798,0.121622,0.0148241
32,NY,1.78565e+06,1.34597e+06,0.75377,1.8021e+07,1.9747e+07,0.478025,0.361385,-0.11664,0.0990872,0.0681607,-0.0309265
33,OH,1.08849e+06,1.16947e+06,1.0744,1.0864e+07,1.1605e+07,0.288667,0.312621,0.0239536,0.100192,0.100773,0.000580588
34,OK,430751,549018,1.27456,3.149e+06,3.907e+06,0.311496,0.336641,0.025145,0.13679,0.140522,0.00373185
35,OR,346266,339200,0.979594,2.86e+06,4.025e+06,0.353984,0.354555,0.000570798,0.121072,0.0842733,-0.0367987
36,PA,1.31145e+06,1.21282e+06,0.924797,1.1903e+07,1.2792e+07,0.360676,0.312473,-0.0482029,0.110178,0.0948111,-0.0153669
37,RI,104531,90344,0.864279,1.006e+06,1.056e+06,0.491434,0.445787,-0.0456476,0.103908,0.085553,-0.0183545
38,SC,387716,531594,1.37109,3.501e+06,4.895e+06,0.30699,0.322474,0.015484,0.110744,0.108599,-0.00214497
39,SD,108574,119014,1.09616,697000,858000,0.499613,0.310337,-0.189276,0.155773,0.138711,-0.0170624
40,TN,553286,710595,1.28432,4.894e+06,6.595e+06,0.308746,0.327848,0.019102,0.113054,0.107748,-0.00530641
41,TX,4.79153e+06,6.29176e+06,1.3131,1.7057e+07,2.743e+07,0.464955,0.487824,0.0228689,0.280913,0.229375,-0.0515373
43,UT,193286,285501,1.47709,1.731e+06,2.991e+06,0.360704,0.360927,0.000222765,0.111661,0.0954534,-0.0162081
44,VA,752648,804032,1.06827,6.217e+06,8.368e+06,0.383284,0.339584,-0.0437002,0.121063,0.0960841,-0.0249788
45,VT,72022,84362,1.17134,565000,626000,0.570933,0.639106,0.0681735,0.127473,0.134764,0.00729101
46,WA,763310,769134,1.00763,4.903e+06,7.16e+06,0.372978,0.386812,0.013834,0.155682,0.107421,-0.0482613
47,WI,478723,552182,1.15345,4.905e+06,5.768e+06,0.322423,0.310881,-0.0115422,0.097599,0.095732,-0.00186701
48,WV,207783,195015,0.938551,1.793e+06,1.841e+06,0.294926,0.25166,-0.0432661,0.115886,0.105929,-0.00995682
49,WY,122904,163161,1.32755,454000,587000,0.307698,0.311519,0.00382093,0.270714,0.277957,0.00724375
50,US,3.35516e+07,3.68713e+07,1.09894,2.49623e+08,3.20897e+08,0.397032,0.379136,-0.0178967,0.134409,0.114901,-0.0195083
