,StateCode,1990,2015,FactorChange,1990_pop,2015_pop,1990ProportionOfTotalConsumption,2015ProportionOfTotalConsumption,DifferenceOfProportion,1990ConsumptionPerCapita,2015ConsumptionPerCapita,ChangeConsumptionPerCapita
0,AL,682496,494311,0.724269,4.05e+06,4.854e+06,0.409774,0.258861,-0.150913,0.168518,0.101836,-0.0666817
1,AR,212707,226889,1.06667,2.357e+06,2.978e+06,0.248514,0.214958,-0.0335558,0.0902448,0.0761884,-0.0140564
2,AZ,343415,385822,1.12349,3.684e+06,6.818e+06,0.365759,0.267957,-0.0978014,0.093218,0.0565887,-0.0366292
3,CA,84160,30967,0.367954,2.996e+07,3.8994e+07,0.011304,0.00403408,-0.00726991,0.00280908,0.000794148,-0.00201493
4,CO,337375,340107,1.0081,3.308e+06,5.449e+06,0.361636,0.229767,-0.13187,0.101988,0.0624164,-0.0395712
5,CT,38511,6536,0.169718,3.292e+06,3.585e+06,0.0501259,0.00869609,-0.0414298,0.0116984,0.00182315,-0.00987521
6,DE,59491,7149,0.120169,670000,944000,0.232893,0.0257144,-0.207178,0.0887925,0.00757309,-0.0812194
7,FL,633390,466530,0.73656,1.3033e+07,2.0245e+07,0.193056,0.109987,-0.0830695,0.0485989,0.0230442,-0.0255547
8,GA,714128,394665,0.552653,6.513e+06,1.0199e+07,0.32028,0.13842,-0.18186,0.109647,0.0386964,-0.0709501
9,HI,721,15632,21.681,1.113e+06,1.425e+06,0.00224316,0.0553506,0.0531074,0.000647799,0.0109698,0.010322
10,IA,334999,348293,1.03968,2.781e+06,3.122e+06,0.35417,0.233003,-0.121167,0.12046,0.111561,-0.00889905
11,ID,10086,4249,0.421277,1.012e+06,1.653e+06,0.0248783,0.00810317,-0.0167751,0.0099664,0.00257048,-0.00739593
12,IL,748159,850430,1.1367,1.1453e+07,1.2839e+07,0.208914,0.215695,0.00678078,0.0653243,0.066238,0.000913743
13,IN,1.3618e+06,1.00747e+06,0.739809,5.558e+06,6.613e+06,0.546379,0.35395,-0.192429,0.245016,0.152347,-0.092669
14,KS,271741,273416,1.00616,2.481e+06,2.907e+06,0.254808,0.252548,-0.00226002,0.109529,0.0940544,-0.0154745
15,KY,803503,796484,0.991265,3.694e+06,4.425e+06,0.54929,0.461602,-0.0876875,0.217516,0.179996,-0.0375193
16,LA,208871,174221,0.834108,4.222e+06,4.669e+06,0.0541353,0.0409075,-0.0132278,0.0494721,0.0373144,-0.0121576
17,MA,114004,24177,0.212072,6.023e+06,6.784e+06,0.0810354,0.0167331,-0.0643023,0.0189281,0.00356383,-0.0153643
18,MD,286482,165994,0.579422,4.8e+06,5.995e+06,0.22576,0.118612,-0.107148,0.0596838,0.0276887,-0.031995
19,ME,10413,2588,0.248535,1.232e+06,1.329e+06,0.022772,0.0063799,-0.0163921,0.00845211,0.00194733,-0.00650478
20,MI,788043,617280,0.783308,9.311e+06,9.918e+06,0.274187,0.223058,-0.0511288,0.0846357,0.0622384,-0.0223973
21,MN,325469,271570,0.834396,4.39e+06,5.482e+06,0.23231,0.153436,-0.0788734,0.0741387,0.0495385,-0.0246002
22,MO,539572,696401,1.29065,5.129e+06,6.076e+06,0.363677,0.381222,0.0175451,0.1052,0.114615,0.00941481
23,MS,103944,71626,0.689083,2.579e+06,2.989e+06,0.101013,0.0632353,-0.0377782,0.040304,0.0239632,-0.0163408
24,MT,168848,178421,1.0567,800000,1.032e+06,0.485822,0.455814,-0.0300085,0.21106,0.172889,-0.0381714
25,NC,568294,405525,0.713583,6.664e+06,1.0035e+07,0.276454,0.160685,-0.115768,0.0852782,0.0404111,-0.0448671
26,ND,374517,408091,1.08965,638000,757000,1.19845,0.671685,-0.526762,0.587017,0.53909,-0.0479274
27,NE,142021,266319,1.87521,1.221e+06,2.884e+06,0.270257,0.31217,0.041913,0.116315,0.0923436,-0.0239717
28,NH,31544,10989,0.348371,1.112e+06,1.33e+06,0.117941,0.0360042,-0.0819371,0.0283669,0.00826241,-0.0201045
29,NJ,80800,22925,0.283725,7.763e+06,8.935e+06,0.0359775,0.0100212,-0.0259563,0.0104083,0.00256575,-0.00784259
30,NM,275661,215703,0.782494,1.522e+06,2.08e+06,0.462178,0.319297,-0.142882,0.181118,0.103703,-0.0774142
31,NV,165306,36635,0.221619,1.582e+06,1.894e+06,0.410111,0.0564016,-0.35371,0.104492,0.0193427,-0.0851491
32,NY,349779,41241,0.117906,1.8021e+07,1.9747e+07,0.0936371,0.011073,-0.0825642,0.0194095,0.00208847,-0.0173211
33,OH,1.42531e+06,865714,0.607385,1.0864e+07,1.1605e+07,0.377994,0.231422,-0.146572,0.131196,0.0745984,-0.0565977
34,OK,278807,280748,1.00696,3.149e+06,3.907e+06,0.201618,0.172146,-0.0294722,0.0885383,0.0718577,-0.0166806
35,OR,15658,26515,1.69338,2.86e+06,4.025e+06,0.016007,0.0277153,0.0117083,0.00547483,0.00658758,0.00111275
36,PA,1.46970e+06,878829,0.597963,1.1903e+07,1.2792e+07,0.4042,0.226423,-0.177778,0.123473,0.0687015,-0.054772
37,RI,129,0,0,1.006e+06,1.056e+06,0.000606471,0,-0.000606471,0.000128231,0,-0.000128231
38,SC,289222,241217,0.83402,3.501e+06,4.895e+06,0.229003,0.146326,-0.0826769,0.0826113,0.0492782,-0.033333
39,SD,34882,19616,0.562353,697000,858000,0.160513,0.0511501,-0.109363,0.0500459,0.0228625,-0.0271834
40,TN,600526,370650,0.617209,4.894e+06,6.595e+06,0.335107,0.171007,-0.1641,0.122707,0.0562017,-0.0665049
41,TX,1.33367e+06,1.34042e+06,1.00506,1.7057e+07,2.743e+07,0.129415,0.103928,-0.0254874,0.0781891,0.048867,-0.0293221
43,UT,366842,330043,0.899687,1.731e+06,2.991e+06,0.684589,0.417237,-0.267353,0.211925,0.110345,-0.10158
44,VA,355067,232427,0.6546,6.217e+06,8.368e+06,0.180817,0.0981658,-0.0826511,0.0571123,0.0277757,-0.0293366
45,VT,201,0,0,565000,626000,0.00159337,0,-0.00159337,0.000355752,0,-0.000355752
46,WA,85575,58273,0.680958,4.903e+06,7.16e+06,0.0418147,0.0293066,-0.0125081,0.0174536,0.00813869,-0.00931491
47,WI,394460,408189,1.0348,4.905e+06,5.768e+06,0.265671,0.229812,-0.0358592,0.08042,0.0707679,-0.00965212
48,WV,873485,730949,0.836819,1.793e+06,1.841e+06,1.23982,0.943263,-0.296556,0.487164,0.397039,-0.0901249
49,WY,459772,487177,1.05961,454000,587000,1.15107,0.930153,-0.220914,1.01271,0.829944,-0.18277
50,US,1.91677e+07,1.5549e+07,0.811208,2.49623e+08,3.20897e+08,0.22682,0.159885,-0.0669353,0.0767865,0.0484548,-0.0283318
