,StateCode,1990,2015,FactorChange,1990_pop,2015_pop,1990ProportionOfTotalConsumption,2015ProportionOfTotalConsumption,DifferenceOfProportion,1990ConsumptionPerCapita,2015ConsumptionPerCapita,ChangeConsumptionPerCapita
0,AL,204466,303141,1.4826,4.05e+06,4.854e+06,12.2763,15.8749,3.59867,0.0504854,0.0624518,0.0119664
1,AR,93370,158539,1.69797,2.357e+06,2.978e+06,10.9088,15.0202,4.11145,0.0396139,0.0532367,0.0136228
2,AZ,141494,263916,1.86521,3.684e+06,6.818e+06,15.07,18.3292,3.25923,0.0384077,0.0387087,0.000301003
3,CA,720249,891114,1.23723,2.996e+07,3.8994e+07,9.67406,11.6086,1.93451,0.0240404,0.0228526,-0.00118776
4,CO,105071,184644,1.75733,3.308e+06,5.449e+06,11.2627,12.474,1.21134,0.0317627,0.0338859,0.00212315
5,CT,92763,100573,1.08419,3.292e+06,3.585e+06,12.074,13.3812,1.30712,0.0281783,0.0280538,-0.000124476
6,DE,28265,39232,1.38801,670000,944000,11.065,14.1115,3.04642,0.0421866,0.0415593,-0.000627245
7,FL,489741,803865,1.64141,1.3033e+07,2.0245e+07,14.9272,18.9515,4.02429,0.037577,0.0397068,0.00212984
8,GA,274462,463616,1.68918,6.513e+06,1.0199e+07,12.3094,16.2603,3.95093,0.0421406,0.045457,0.00331636
9,HI,28356,32453,1.14448,1.113e+06,1.425e+06,8.82207,11.4911,2.66905,0.0254771,0.022774,-0.00270305
10,IA,100440,160867,1.60162,2.781e+06,3.122e+06,10.6188,10.7618,0.14299,0.0361165,0.0515269,0.0154104
11,ID,61428,78677,1.2808,1.012e+06,1.653e+06,15.1519,15.0043,-0.147618,0.0606996,0.0475965,-0.0131031
12,IL,380700,472971,1.24237,1.1453e+07,1.2839e+07,10.6306,11.996,1.36541,0.0332402,0.0368386,0.00359842
13,IN,252427,356604,1.4127,5.558e+06,6.613e+06,10.1278,12.5284,2.40055,0.0454169,0.0539247,0.00850782
14,KS,92632,135965,1.4678,2.481e+06,2.907e+06,8.68597,12.5588,3.87278,0.0373366,0.0467716,0.00943503
15,KY,208463,259444,1.24456,3.694e+06,4.425e+06,14.2509,15.0361,0.785155,0.0564329,0.0586314,0.00219855
16,LA,217774,312800,1.43635,4.222e+06,4.669e+06,5.64428,7.34462,1.70034,0.0515808,0.0669951,0.0154143
17,MA,155047,186367,1.202,6.023e+06,6.784e+06,11.0209,12.8986,1.8777,0.0257425,0.0274716,0.00172906
18,MD,169009,210799,1.24726,4.8e+06,5.995e+06,13.3186,15.0628,1.74419,0.0352102,0.0351625,-4.77396e-05
19,ME,39337,40562,1.03114,1.232e+06,1.329e+06,8.60254,9.99929,1.39675,0.0319294,0.0305207,-0.00140869
20,MI,281036,349661,1.24419,9.311e+06,9.918e+06,9.7782,12.6352,2.85704,0.0301832,0.0352552,0.00507197
21,MN,160934,227168,1.41156,4.39e+06,5.482e+06,11.487,12.8349,1.34796,0.0366592,0.0414389,0.00477967
22,MO,183991,278092,1.51144,5.129e+06,6.076e+06,12.4012,15.2232,2.82206,0.0358727,0.0457689,0.00989624
23,MS,109618,166135,1.51558,2.579e+06,2.989e+06,10.6528,14.6673,4.01454,0.0425041,0.0555821,0.0130781
24,MT,44781,48474,1.08247,800000,1.032e+06,12.8847,12.3837,-0.501031,0.0559762,0.0469709,-0.00900532
25,NC,306822,456688,1.48845,6.664e+06,1.0035e+07,14.9257,18.0958,3.17009,0.0460417,0.0455095,-0.0005322
26,ND,23931,61856,2.58476,638000,757000,7.65787,10.181,2.52313,0.0375094,0.081712,0.0442026
27,NE,60966,100637,1.65071,1.221e+06,2.884e+06,11.6015,11.7963,0.194878,0.0499312,0.0348949,-0.0150363
28,NH,30638,37529,1.22492,1.112e+06,1.33e+06,11.4554,12.296,0.840578,0.0275522,0.0282173,0.000665135
29,NJ,214467,257571,1.20098,7.763e+06,8.935e+06,9.54948,11.2592,1.7097,0.0276268,0.0288272,0.00120038
30,NM,47156,78795,1.67094,1.522e+06,2.08e+06,7.90626,11.6637,3.75745,0.0309829,0.0378822,0.00689929
31,NV,55793,122899,2.20277,1.582e+06,1.894e+06,13.8418,18.921,5.07918,0.0352674,0.0648886,0.0296212
32,NY,441255,508093,1.15147,1.8021e+07,1.9747e+07,11.8126,13.642,1.82945,0.0244856,0.0257301,0.00124454
33,OH,486092,509116,1.04737,1.0864e+07,1.1605e+07,12.8912,13.6096,0.718461,0.0447434,0.0438704,-0.000872972
34,OK,145024,209280,1.44307,3.149e+06,3.907e+06,10.4874,12.8324,2.34505,0.046054,0.0535654,0.00751141
35,OR,146639,161265,1.09974,2.86e+06,4.025e+06,14.9908,16.8565,1.86576,0.0512724,0.0400658,-0.0112065
36,PA,391529,499326,1.27532,1.1903e+07,1.2792e+07,10.7679,12.8647,2.09682,0.0328933,0.0390342,0.00614094
37,RI,21902,26152,1.19405,1.006e+06,1.056e+06,10.2968,12.9042,2.6074,0.0217714,0.0247652,0.00299378
38,SC,189884,277492,1.46138,3.501e+06,4.895e+06,15.0348,16.8331,1.7983,0.0542371,0.0566889,0.00245179
39,SD,21611,41292,1.91069,697000,858000,9.9445,10.7672,0.822668,0.0310057,0.0481259,0.0171201
40,TN,263218,339945,1.2915,4.894e+06,6.595e+06,14.6882,15.6841,0.995924,0.0537838,0.0515459,-0.00223795
41,TX,810060,1.33866e+06,1.65254,1.7057e+07,2.743e+07,7.86058,10.3791,2.51852,0.0474914,0.0488026,0.00131124
43,UT,52551,103016,1.96031,1.731e+06,2.991e+06,9.80691,13.0232,3.21626,0.0303588,0.034442,0.00408324
44,VA,248040,382175,1.54078,6.217e+06,8.368e+06,12.6314,16.1412,3.50983,0.0398971,0.045671,0.00577395
45,VT,16092,18838,1.17064,565000,626000,12.7564,14.2712,1.51477,0.0284814,0.0300927,0.00161124
46,WA,310649,307476,0.989786,4.903e+06,7.16e+06,15.1793,15.4635,0.284231,0.063359,0.0429436,-0.0204154
47,WI,167864,234401,1.39637,4.905e+06,5.768e+06,11.3057,13.1969,1.89113,0.034223,0.0406382,0.00641514
48,WV,78928,110218,1.39644,1.793e+06,1.841e+06,11.203,14.2232,3.02024,0.0440201,0.0598685,0.0158485
49,WY,40155,57747,1.4381,454000,587000,10.0531,11.0255,0.972419,0.0884471,0.0983765,0.00992935
50,US,9.25524e+06,1.28257e+07,1.38578,2.49623e+08,3.20897e+08,10.9522,13.1882,2.23606,0.0370769,0.0399682,0.00289136
