,StateCode,1990,2015,FactorChange,1990_pop,2015_pop,1990ProportionOfTotalConsumption,2015ProportionOfTotalConsumption,DifferenceOfProportion,1990ConsumptionPerCapita,2015ConsumptionPerCapita,ChangeConsumptionPerCapita
0,AL,1.41763e+06,1.714e+06,1.20906,4.05e+06,4.854e+06,0.85115,0.897589,0.0464385,0.350031,0.353111,0.00307952
1,AR,713222,838827,1.17611,2.357e+06,2.978e+06,0.833286,0.794719,-0.0385675,0.302597,0.281675,-0.0209228
2,AZ,821494,1.25805e+06,1.53142,3.684e+06,6.818e+06,0.874943,0.87373,-0.00121307,0.22299,0.184519,-0.0384705
3,CA,5.69274e+06,5.77486e+06,1.01443,2.996e+07,3.8994e+07,0.764623,0.752293,-0.01233,0.190011,0.148096,-0.0419152
4,CO,896246,1.29829e+06,1.44858,3.308e+06,5.449e+06,0.960697,0.877086,-0.0836108,0.270933,0.238262,-0.0326714
5,CT,586890,582088,0.991818,3.292e+06,3.585e+06,0.763896,0.774463,0.0105669,0.178278,0.162368,-0.01591
6,DE,234646,217320,0.926161,670000,944000,0.918581,0.781684,-0.136897,0.350218,0.230212,-0.120006
7,FL,2.54295e+06,3.45464e+06,1.35852,1.3033e+07,2.0245e+07,0.775087,0.814449,0.0393618,0.195116,0.170642,-0.0244745
8,GA,1.84901e+06,1.98619e+06,1.07419,6.513e+06,1.0199e+07,0.829263,0.696612,-0.132651,0.283895,0.194744,-0.0891515
9,HI,293484,253588,0.864061,1.113e+06,1.425e+06,0.913083,0.897917,-0.0151656,0.263687,0.177956,-0.0857308
10,IA,812045,1.06891e+06,1.31632,2.781e+06,3.122e+06,0.858516,0.715085,-0.143431,0.291997,0.34238,0.0503821
11,ID,177009,284344,1.60638,1.012e+06,1.653e+06,0.436613,0.542266,0.105653,0.17491,0.172017,-0.00289314
12,IL,2.802e+06,3.13456e+06,1.11869,1.1453e+07,1.2839e+07,0.782424,0.795019,0.0125955,0.244652,0.244143,-0.000508559
13,IN,2.63434e+06,2.52115e+06,0.95703,5.558e+06,6.613e+06,1.05695,0.885742,-0.171206,0.473973,0.381241,-0.0927325
14,KS,1.02513e+06,878500,0.856962,2.481e+06,2.907e+06,0.961253,0.811449,-0.149804,0.413193,0.302202,-0.110992
15,KY,1.49722e+06,1.66166e+06,1.10984,3.694e+06,4.425e+06,1.02353,0.963018,-0.0605083,0.405311,0.375517,-0.0297932
16,LA,3.4804e+06,3.84402e+06,1.10448,4.222e+06,4.669e+06,0.902051,0.902586,0.000534626,0.824347,0.823307,-0.00104012
17,MA,1.19383e+06,1.04259e+06,0.873315,6.023e+06,6.784e+06,0.848591,0.721587,-0.127003,0.198212,0.153684,-0.0445284
18,MD,972926,865593,0.88968,4.8e+06,5.995e+06,0.766707,0.618517,-0.14819,0.202693,0.144386,-0.0583071
19,ME,262470,253292,0.965032,1.232e+06,1.329e+06,0.573991,0.624412,0.0504208,0.213044,0.190588,-0.0224554
20,MI,2.53994e+06,2.33312e+06,0.918575,9.311e+06,9.918e+06,0.88373,0.843089,-0.0406414,0.272789,0.235241,-0.0375477
21,MN,1.12042e+06,1.28814e+06,1.14969,4.39e+06,5.482e+06,0.799718,0.727792,-0.0719255,0.25522,0.234975,-0.0202447
22,MO,1.36766e+06,1.58670e+06,1.16016,5.129e+06,6.076e+06,0.921815,0.86859,-0.0532251,0.266652,0.261143,-0.00550896
23,MS,740422,1.03628e+06,1.39959,2.579e+06,2.989e+06,0.719547,0.914888,0.195341,0.287097,0.3467,0.059603
24,MT,355744,419661,1.17967,800000,1.032e+06,1.02357,1.07211,0.0485383,0.44468,0.406648,-0.0380317
25,NC,1.45093e+06,1.71381e+06,1.18118,6.664e+06,1.0035e+07,0.705822,0.679081,-0.0267409,0.217726,0.170783,-0.046943
26,ND,514687,700668,1.36135,638000,757000,1.64699,1.15324,-0.493744,0.806719,0.925585,0.118866
27,NE,454096,672786,1.48159,1.221e+06,2.884e+06,0.864117,0.788617,-0.0754995,0.371905,0.233282,-0.138623
28,NH,204880,231781,1.1313,1.112e+06,1.33e+06,0.766035,0.759405,-0.00663053,0.184245,0.174271,-0.00997318
29,NJ,1.65688e+06,1.78172e+06,1.07534,7.763e+06,8.935e+06,0.737754,0.77884,0.0410862,0.213433,0.199409,-0.0140248
30,NM,738565,713851,0.966538,1.522e+06,2.08e+06,1.23829,1.05669,-0.181606,0.48526,0.343198,-0.142062
31,NV,401019,569712,1.42066,1.582e+06,1.894e+06,0.994897,0.877103,-0.117793,0.253489,0.300798,0.0473097
32,NY,3.03039e+06,2.73996e+06,0.904161,1.8021e+07,1.9747e+07,0.811247,0.735665,-0.0755829,0.168159,0.138753,-0.0294057
33,OH,3.28950e+06,3.0296e+06,0.920989,1.0864e+07,1.1605e+07,0.872378,0.80987,-0.0625086,0.302789,0.26106,-0.0417297
34,OK,1.33778e+06,1.52672e+06,1.14124,3.149e+06,3.907e+06,0.967411,0.93614,-0.0312718,0.424827,0.390766,-0.0340611
35,OR,473649,597238,1.26093,2.86e+06,4.025e+06,0.484207,0.624274,0.140067,0.165612,0.148382,-0.0172294
36,PA,3.46162e+06,3.39758e+06,0.981499,1.1903e+07,1.2792e+07,0.95202,0.875356,-0.0766638,0.290819,0.265602,-0.0252176
37,RI,145059,183599,1.26568,1.006e+06,1.056e+06,0.681969,0.905937,0.223967,0.144194,0.173863,0.0296689
38,SC,811026,1.03369e+06,1.27455,3.501e+06,4.895e+06,0.642162,0.627055,-0.0151071,0.231656,0.211173,-0.0204823
39,SD,168903,217901,1.2901,697000,858000,0.777223,0.568192,-0.209031,0.242329,0.253964,0.0116353
40,TN,1.38133e+06,1.37835e+06,0.997838,4.894e+06,6.595e+06,0.770815,0.635929,-0.134886,0.28225,0.208999,-0.0732517
41,TX,1.00017e+07,1.17905e+07,1.17884,1.7057e+07,2.743e+07,0.970539,0.914159,-0.0563791,0.586372,0.429838,-0.156533
43,UT,687041,847353,1.23334,1.731e+06,2.991e+06,1.28213,1.07121,-0.210921,0.396904,0.283301,-0.113603
44,VA,1.29974e+06,1.52885e+06,1.17627,6.217e+06,8.368e+06,0.661887,0.64571,-0.0161773,0.209062,0.182702,-0.0263602
45,VT,78902,94237,1.19436,565000,626000,0.625472,0.713917,0.088445,0.13965,0.150538,0.0108888
46,WA,1.01632e+06,1.13152e+06,1.11336,4.903e+06,7.16e+06,0.496604,0.569064,0.0724603,0.207284,0.158034,-0.0492502
47,WI,1.18442e+06,1.41507e+06,1.19474,4.905e+06,5.768e+06,0.797713,0.796692,-0.00102114,0.241472,0.245332,0.0038601
48,WV,1.21027e+06,1.11217e+06,0.918945,1.793e+06,1.841e+06,1.71785,1.43522,-0.282634,0.674999,0.604114,-0.0708848
49,WY,683993,794307,1.16128,454000,587000,1.71242,1.51655,-0.195871,1.50659,1.35316,-0.153429
50,US,7.23519e+07,7.94345e+07,1.09789,2.49623e+08,3.20897e+08,0.856174,0.816798,-0.0393761,0.289845,0.247539,-0.0423058
