,StateCode,1990,2015,FactorChange,1990_pop,2015_pop,1990ProportionOfTotalConsumption,2015ProportionOfTotalConsumption,DifferenceOfProportion,1990ConsumptionPerCapita,2015ConsumptionPerCapita,ChangeConsumptionPerCapita
0,AL,107832,91902,0.85227,4.05e+06,4.854e+06,0.0647429,0.0481273,-0.0166156,0.0266252,0.0189333,-0.00769193
1,AR,38016,33261,0.874921,2.357e+06,2.978e+06,0.0444156,0.031512,-0.0129036,0.016129,0.0111689,-0.00496007
2,AZ,77158,60906,0.789367,3.684e+06,6.818e+06,0.0821782,0.0422999,-0.0398783,0.0209441,0.00893312,-0.012011
3,CA,247490,128681,0.519944,2.996e+07,3.8994e+07,0.0332418,0.0167633,-0.0164784,0.00826068,0.00330002,-0.00496066
4,CO,14769,15098,1.02228,3.308e+06,5.449e+06,0.0158311,0.0101998,-0.00563129,0.00446463,0.00277078,-0.00169385
5,CT,5936,2819,0.474899,3.292e+06,3.585e+06,0.0077263,0.00375066,-0.00397564,0.00180316,0.000786332,-0.00101683
6,DE,0,0,,670000,944000,0,0,0,0,0,0
7,FL,1816,2277,1.25385,1.3033e+07,2.0245e+07,0.000553514,0.000536814,-1.66999e-05,0.000139339,0.000112472,-2.68664e-05
8,GA,47736,27804,0.582453,6.513e+06,1.0199e+07,0.0214091,0.00975163,-0.0116575,0.00732934,0.00272615,-0.00460319
9,HI,827,1129,1.36518,1.113e+06,1.425e+06,0.00257295,0.00399762,0.00142467,0.000743037,0.000792281,4.92439e-05
10,IA,9103,8948,0.982973,2.781e+06,3.122e+06,0.00962393,0.00598609,-0.00363785,0.00327328,0.00286611,-0.000407172
11,ID,94814,81603,0.860664,1.012e+06,1.653e+06,0.23387,0.155623,-0.0782465,0.0936897,0.0493666,-0.0443231
12,IL,1497,1160,0.774883,1.1453e+07,1.2839e+07,0.000418019,0.000294212,-0.000123808,0.000130708,9.03497e-05,-4.03584e-05
13,IN,4588,3553,0.774412,5.558e+06,6.613e+06,0.00184079,0.00124826,-0.000592533,0.000825477,0.000537275,-0.000288202
14,KS,138,177,1.28261,2.481e+06,2.907e+06,0.000129401,0.000163491,3.40899e-05,5.56227e-05,6.08875e-05,5.26478e-06
15,KY,32874,31717,0.964805,3.694e+06,4.425e+06,0.0224733,0.0183816,-0.0040917,0.0088993,0.00716768,-0.00173161
16,LA,6829,9310,1.3633,4.222e+06,4.669e+06,0.00176995,0.00218601,0.000416066,0.00161748,0.001994,0.000376523
17,MA,12995,7709,0.593228,6.023e+06,6.784e+06,0.009237,0.00533547,-0.00390153,0.00215756,0.00113635,-0.00102121
18,MD,23913,15127,0.632585,4.8e+06,5.995e+06,0.0188445,0.0108091,-0.00803534,0.00498188,0.00252327,-0.00245861
19,ME,42550,31317,0.736005,1.232e+06,1.329e+06,0.0930518,0.0772022,-0.0158496,0.0345373,0.0235643,-0.010973
20,MI,16934,13971,0.825027,9.311e+06,9.918e+06,0.00589192,0.00504852,-0.000843401,0.00181871,0.00140865,-0.000410058
21,MN,8915,7912,0.887493,4.39e+06,5.482e+06,0.00636325,0.00447026,-0.00189299,0.00203075,0.00144327,-0.000587483
22,MO,22802,14864,0.651873,5.129e+06,6.076e+06,0.0153688,0.00813681,-0.00723196,0.0044457,0.00244635,-0.00199935
23,MS,0,0,,2.579e+06,2.989e+06,0,0,0,0,0,0
24,MT,111476,92144,0.826582,800000,1.032e+06,0.320747,0.235401,-0.0853461,0.139345,0.0892868,-0.0500582
25,NC,70936,44191,0.62297,6.664e+06,1.0035e+07,0.0345077,0.0175103,-0.0169974,0.0106447,0.00440369,-0.00624097
26,ND,17799,19516,1.09647,638000,757000,0.0569564,0.0321218,-0.0248347,0.0278981,0.0257807,-0.00211741
27,NE,11859,15702,1.32406,1.221e+06,2.884e+06,0.022567,0.0184054,-0.00416159,0.00971253,0.00544452,-0.00426801
28,NH,19567,11837,0.604947,1.112e+06,1.33e+06,0.07316,0.0387826,-0.0343773,0.0175962,0.0089,-0.00869622
29,NJ,326,89,0.273006,7.763e+06,8.935e+06,0.000145157,3.89045e-05,-0.000106252,4.19941e-05,9.96083e-06,-3.20332e-05
30,NM,2137,927,0.433786,1.522e+06,2.08e+06,0.00358293,0.0013722,-0.00221073,0.00140407,0.000445673,-0.000958401
31,NV,18048,21099,1.16905,1.582e+06,1.894e+06,0.0447757,0.0324831,-0.0122926,0.0114083,0.0111399,-0.000268428
32,NY,293214,242429,0.826799,1.8021e+07,1.9747e+07,0.0784945,0.0650908,-0.0134036,0.0162707,0.0122768,-0.00399393
33,OH,1887,4256,2.25543,1.0864e+07,1.1605e+07,0.000500433,0.00113771,0.000637277,0.000173693,0.000366738,0.000193046
34,OK,28404,24825,0.873997,3.149e+06,3.907e+06,0.0205403,0.0152219,-0.00531833,0.00902001,0.00635398,-0.00266603
35,OR,428982,291255,0.678945,2.86e+06,4.025e+06,0.438544,0.30444,-0.134104,0.149994,0.0723615,-0.0776322
36,PA,29845,24264,0.813001,1.1903e+07,1.2792e+07,0.00820801,0.00625141,-0.0019566,0.00250735,0.00189681,-0.000610541
37,RI,103,29,0.281553,1.006e+06,1.056e+06,0.000484236,0.000143095,-0.000341141,0.000102386,2.74621e-05,-7.49236e-05
38,SC,34306,23897,0.696584,3.501e+06,4.895e+06,0.0271632,0.0144963,-0.0126668,0.00979891,0.00488192,-0.00491699
39,SD,40926,45202,1.10448,697000,858000,0.188325,0.117867,-0.0704575,0.0587174,0.052683,-0.00603438
40,TN,104180,89288,0.857055,4.894e+06,6.595e+06,0.0581348,0.0411949,-0.0169399,0.0212873,0.0135387,-0.00774855
41,TX,18657,8913,0.47773,1.7057e+07,2.743e+07,0.00181042,0.000691058,-0.00111936,0.0010938,0.000324936,-0.000768867
