,StateCode,1990,2015,FactorChange,1990_pop,2015_pop,1990ProportionOfTotalConsumption,2015ProportionOfTotalConsumption,DifferenceOfProportion,1990ConsumptionPerCapita,2015ConsumptionPerCapita,ChangeConsumptionPerCapita
0,AK,326826,337112,1.03147,553000,738000,55.9554,54.3825,-1.57294,0.591005,0.456791,-0.134214
1,AL,252457,696411,2.75853,4.05e+06,4.854e+06,15.1577,36.4697,21.3121,0.0623351,0.143472,0.0811365
2,AR,234465,296742,1.26561,2.357e+06,2.978e+06,27.3935,28.1138,0.720335,0.099476,0.0996447,0.000168699
3,AZ,130781,365536,2.79502,3.684e+06,6.818e+06,13.929,25.3869,11.4579,0.0354997,0.0536134,0.0181136
4,CA,2.1016e+06,2.38166e+06,1.13326,2.996e+07,3.8994e+07,28.2278,31.026,2.79826,0.0701469,0.0610777,-0.0090692
5,CO,247756,496847,2.00539,3.308e+06,5.449e+06,26.5573,33.5656,7.00832,0.074896,0.0911813,0.0162853
6,CT,108957,260931,2.39481,3.292e+06,3.585e+06,14.1818,34.7166,20.5348,0.0330975,0.0727841,0.0396866
7,DE,40145,107828,2.68596,670000,944000,15.7158,38.785,23.0692,0.0599179,0.114225,0.0543067
8,FL,341993,1.36631e+06,3.99514,1.3033e+07,2.0245e+07,10.4239,32.2114,21.7875,0.0262405,0.0674887,0.0412482
9,GA,319413,712610,2.231,6.513e+06,1.0199e+07,14.3254,24.9932,10.6678,0.0490424,0.0698706,0.0208282
10,HI,2983,2869,0.961783,1.113e+06,1.425e+06,0.928066,1.01587,0.0878038,0.00268014,0.00201333,-0.00066681
11,IA,220396,334778,1.51898,2.781e+06,3.122e+06,23.3009,22.3962,-0.904678,0.0792506,0.107232,0.0279813
12,ID,46786,107885,2.30592,1.012e+06,1.653e+06,11.5403,20.5745,9.03419,0.0462312,0.0652662,0.019035
13,IL,960188,1.0222e+06,1.06458,1.1453e+07,1.2839e+07,26.8121,25.9261,-0.885987,0.0838372,0.0796167,-0.00422053
