,StateCode,1990,2015,FactorChange,1990_pop,2015_pop,1990ProportionOfTotalConsumption,2015ProportionOfTotalConsumption,DifferenceOfProportion,1990ConsumptionPerCapita,2015ConsumptionPerCapita,ChangeConsumptionPerCapita
0,AK,18357,21658,1.17982,553000,738000,3.14288,3.49384,0.350965,0.0331953,0.0293469,-0.00384841
1,AL,253287,270793,1.06912,4.05e+06,4.854e+06,15.2075,14.1809,-1.02657,0.06254,0.0557876,-0.0067524
2,AR,110505,121730,1.10158,2.357e+06,2.978e+06,12.9107,11.5329,-1.37784,0.0468838,0.0408764,-0.00600732
3,AZ,94753,147409,1.55572,3.684e+06,6.818e+06,10.0918,10.2377,0.145912,0.0257201,0.0216206,-0.00409958
4,CA,672951,855828,1.27175,2.996e+07,3.8994e+07,9.03878,11.1489,2.11013,0.0224616,0.0219477,-0.000513965
5,CO,27106,127911,4.71892,3.308e+06,5.449e+06,2.90553,8.64131,5.73578,0.00819407,0.0234742,0.0152801
6,CT,34712,40738,1.1736,3.292e+06,3.585e+06,4.51812,5.42016,0.902041,0.0105443,0.0113635,0.000819109
7,DE,1653,7847,4.74713,670000,944000,0.647109,2.82251,2.1754,0.00246716,0.0083125,0.00584534
8,FL,199621,300790,1.50681,1.3033e+07,2.0245e+07,6.08441,7.09127,1.00686,0.0153166,0.0148575,-0.000459085
9,GA,236225,296226,1.254,6.513e+06,1.0199e+07,10.5945,10.3895,-0.205003,0.0362698,0.0290446,-0.00722516
10,HI,27937,28830,1.03196,1.113e+06,1.425e+06,8.69172,10.2083,1.51656,0.0251006,0.0202316,-0.00486905
11,IA,74025,413344,5.58384,2.781e+06,3.122e+06,7.82612,27.6521,19.826,0.0266181,0.132397,0.105779
12,ID,119701,143396,1.19795,1.012e+06,1.653e+06,29.5256,27.3467,-2.17892,0.118282,0.0867489,-0.0315327
13,IL,102981,251670,2.44385,1.1453e+07,1.2839e+07,2.87562,6.38312,3.5075,0.00899162,0.019602,0.0106104
14,IN,60812,167061,2.74717,5.558e+06,6.613e+06,2.43989,5.86927,3.42938,0.0109413,0.0252625,0.0143212
15,KS,13869,147866,10.6616,2.481e+06,2.907e+06,1.30048,13.658,12.3575,0.00559008,0.0508655,0.0452754
16,KY,53391,87783,1.64415,3.694e+06,4.425e+06,3.64991,5.08747,1.43756,0.0144534,0.019838,0.00538453
17,LA,125516,146766,1.1693,4.222e+06,4.669e+06,3.25313,3.4461,0.192969,0.029729,0.0314341,0.0017051
18,MA,65263,82074,1.25759,6.023e+06,6.784e+06,4.63897,5.68042,1.04144,0.0108356,0.0120982,0.00126254
19,MD,50546,75157,1.4869,4.8e+06,5.995e+06,3.98324,5.37041,1.38717,0.0105304,0.0125366,0.0020062
20,ME,151630,147971,0.975869,1.232e+06,1.329e+06,33.1597,36.4776,3.3179,0.123076,0.11134,-0.0117362
21,MI,102166,201880,1.976,9.311e+06,9.918e+06,3.5547,7.29507,3.74037,0.0109726,0.0203549,0.0093823
22,MN,60972,256129,4.20076,4.39e+06,5.482e+06,4.35199,14.4712,10.1192,0.0138888,0.0467218,0.032833
23,MO,43149,95915,2.22288,5.129e+06,6.076e+06,2.90828,5.25055,2.34227,0.00841275,0.0157859,0.00737313
24,MS,84868,72502,0.854291,2.579e+06,2.989e+06,8.24753,6.40087,-1.84666,0.0329073,0.0242563,-0.00865106
25,MT,123371,119888,0.971768,800000,1.032e+06,35.4972,30.6279,-4.86934,0.154214,0.116171,-0.0380432
26,NC,168721,202387,1.19954,6.664e+06,1.0035e+07,8.20764,8.0194,-0.188248,0.0253183,0.0201681,-0.00515017
27,ND,21154,110685,5.23234,638000,757000,6.76924,18.2179,11.4486,0.0331567,0.146215,0.113059
28,NE,19705,158382,8.03766,1.221e+06,2.884e+06,3.74974,18.565,14.8153,0.0161384,0.0549175,0.0387791
29,NH,46824,58785,1.25545,1.112e+06,1.33e+06,17.5072,19.2603,1.75301,0.0421079,0.0441992,0.00209133
30,NJ,26139,85323,3.2642,7.763e+06,8.935e+06,1.16388,3.72972,2.56584,0.00336713,0.0095493,0.00618217
31,NM,8718,44194,5.06928,1.522e+06,2.08e+06,1.46168,6.54186,5.08019,0.00572799,0.0212471,0.0155191
32,NV,30070,84796,2.81995,1.582e+06,1.894e+06,7.46013,13.0548,5.59469,0.0190076,0.0447709,0.0257633
33,NY,390950,414769,1.06093,1.8021e+07,1.9747e+07,10.4659,11.1363,0.67044,0.0216941,0.0210042,-0.000689982
34,OH,79958,141322,1.76745,1.0864e+07,1.1605e+07,2.12049,3.77781,1.65732,0.0073599,0.0121777,0.00481778
35,OK,49914,197069,3.94817,3.149e+06,3.907e+06,3.60952,12.0837,8.47416,0.0158507,0.05044,0.0345892
