,StateCode,1990,2015,FactorChange,1990_pop,2015_pop,1990ProportionOfTotalConsumption,2015ProportionOfTotalConsumption,DifferenceOfProportion,1990ConsumptionPerCapita,2015ConsumptionPerCapita,ChangeConsumptionPerCapita
0,AL,138,101,0.731884,4.05e+06,4.854e+06,8.2856e-05,5.28918e-05,-2.99642e-05,3.40741e-05,2.08076e-05,-1.32665e-05
1,AR,1281,124,0.0967994,2.357e+06,2.978e+06,0.00149664,0.00011748,-0.00137916,0.000543487,4.16387e-05,-0.000501849
2,AZ,3619,48215,13.3227,3.684e+06,6.818e+06,0.00385447,0.0334858,0.0296314,0.000982356,0.00707172,0.00608937
3,CA,22029,211763,9.61292,2.996e+07,3.8994e+07,0.00295884,0.0275865,0.0246276,0.00073528,0.00543066,0.00469538
4,CO,154,6269,40.7078,3.308e+06,5.449e+06,0.000165075,0.00423516,0.00407009,4.65538e-05,0.00115049,0.00110393
5,CT,66,2948,44.6667,3.292e+06,3.585e+06,8.59056e-05,0.00392229,0.00383638,2.00486e-05,0.000822315,0.000802267
6,DE,29,1230,42.4138,670000,944000,0.000113528,0.00442422,0.00431069,4.32836e-05,0.00130297,0.00125968
7,FL,25584,30019,1.17335,1.3033e+07,2.0245e+07,0.00779796,0.00707712,-0.000720834,0.00196302,0.00148279,-0.000480231
8,GA,105,2459,23.419,6.513e+06,1.0199e+07,4.70915e-05,0.000862439,0.000815348,1.61216e-05,0.000241102,0.00022498
9,HI,885,8351,9.43616,1.113e+06,1.425e+06,0.0027534,0.0295696,0.0268162,0.000795148,0.00586035,0.0050652
10,IA,9,419,46.5556,2.781e+06,3.122e+06,9.51504e-06,0.000280305,0.00027079,3.23625e-06,0.000134209,0.000130973
11,ID,2,81,40.5,1.012e+06,1.653e+06,4.93323e-06,0.000154473,0.00014954,1.97628e-06,4.90018e-05,4.70255e-05
12,IL,53,1932,36.4528,1.1453e+07,1.2839e+07,1.47996e-05,0.000490015,0.000475215,4.62761e-06,0.000150479,0.000145851
13,IN,13,1713,131.769,5.558e+06,6.613e+06,5.21584e-06,0.00060182,0.000596604,2.33897e-06,0.000259035,0.000256696
14,KS,36,87,2.41667,2.481e+06,2.907e+06,3.37567e-05,8.03598e-05,4.66031e-05,1.45103e-05,2.99278e-05,1.54175e-05
15,KY,3,197,65.6667,3.694e+06,4.425e+06,2.05086e-06,0.000114171,0.000112121,8.12128e-07,4.45198e-05,4.37076e-05
16,LA,64,1520,23.75,4.222e+06,4.669e+06,1.65876e-05,0.0003569,0.000340312,1.51587e-05,0.000325552,0.000310393
17,MA,193,12534,64.943,6.023e+06,6.784e+06,0.000137187,0.00867489,0.00853771,3.20438e-05,0.00184758,0.00181554
18,MD,41,4375,106.707,4.8e+06,5.995e+06,3.23097e-05,0.00312619,0.00309388,8.54167e-06,0.000729775,0.000721233
19,ME,85,322,3.78824,1.232e+06,1.329e+06,0.000185885,0.00079379,0.000607905,6.89935e-05,0.000242287,0.000173294
20,MI,226,851,3.76549,9.311e+06,9.918e+06,7.86331e-05,0.000307515,0.000228882,2.42724e-05,8.58036e-05,6.15312e-05
21,MN,338,472,1.39645,4.39e+06,5.482e+06,0.000241254,0.000266679,2.54247e-05,7.69932e-05,8.61e-05,9.1068e-06
22,MO,163,1542,9.46012,5.129e+06,6.076e+06,0.000109864,0.000844117,0.000734254,3.17801e-05,0.000253785,0.000222005
23,MS,4,29,7.25,2.579e+06,2.989e+06,3.88723e-06,2.56028e-05,2.17155e-05,1.55099e-06,9.70224e-06,8.15125e-06
