STATE,VOTES_D,PERC_D,EV_D,VOTES_R,PERC_R,EV_R,,,
AL,"690,080",40.90%,,"804,283",47.60%,9,,,
AK,"78,294",30.30%,,"102,000",39.50%,3,,,
AZ,"543,050",36.50%,,"572,086",38.50%,8,,,
AR,"505,823",53.20%,6,"337,324",35.50%,,,,
CA,"5,121,325",46.00%,54,"3,630,574",32.60%,,,,
CO,"629,681",40.10%,8,"562,850",35.90%,,,,
CT,"682,318",42.20%,8,"578,313",35.80%,,,,
DE,"126,054",43.50%,3,"102,313",35.30%,,,,
Dist. of Col.,"192,619",84.60%,3,"20,698",9.10%,,,,
FL,"2,072,698",39.00%,,"2,173,310",40.90%,25,,,
GA,"1,008,966",43.50%,13,"995,252",42.90%,,,,
HI,"179,310",48.10%,4,"136,822",36.70%,,,,
ID,"137,013",28.40%,,"202,645",42.00%,4,,,
IL,"2,453,350",48.60%,22,"1,734,096",34.30%,,,,
IN,"848,420",36.80%,,"989,375",42.90%,12,,,
IA,"586,353",43.30%,7,"504,891",37.30%,,,,
KA,"390,434",33.70%,,"449,951",38.90%,6,,,
KY,"665,104",44.60%,8,"617,178",41.30%,,,,
LA,"815,971",45.60%,9,"733,386",41.00%,,,,
ME,"263,420",38.80%,4,"206,504",30.40%,,,,
MD,"988,571",49.80%,10,"707,094",35.60%,,,,
MA,"1,318,662",47.50%,12,"805,049",29.00%,,,,
MI,"1,871,182",43.80%,18,"1,554,940",36.40%,,,,
MN,"1,020,997",43.50%,10,"747,841",31.90%,,,,
MS,"400,258",40.80%,,"487,793",49.70%,7,,,
MO,"1,053,873",44.10%,11,"811,159",33.90%,,,,
MT,"154,507",37.60%,3,"144,207",35.10%,,,,
NE,"216,864",29.40%,,"343,678",46.60%,5,,,
NV,"189,148",37.40%,4,"175,828",34.70%,,,,
NH,"209,040",38.90%,4,"202,484",37.60%,,,,
NJ,"1,436,206",43.00%,15,"1,356,865",40.60%,,,,
NM,"261,617",45.90%,5,"212,824",37.30%,,,,
NY,"3,444,450",49.70%,33,"2,346,649",33.90%,,,,
NC,"1,114,042",42.70%,,"1,134,661",43.40%,14,,,
ND,"99,168",32.20%,,"136,244",44.20%,3,,,
OH,"1,984,942",40.20%,21,"1,894,310",38.30%,,,,
OK,"473,066",34.00%,,"592,929",42.60%,8,,,
OR,"621,314",42.50%,7,"475,757",32.50%,,,,
PA,"2,239,164",45.10%,23,"1,791,841",36.10%,,,,
RI,"213,299",47.00%,4,"131,601",29.00%,,,,
SC,"479,514",39.90%,,"577,507",48.00%,8,,,
SD,"124,888",37.10%,,"136,718",40.70%,3,,,
TN,"933,521",47.10%,11,"841,300",42.40%,,,,
TX,"2,281,815",37.10%,,"2,496,071",40.60%,32,,,
UT,"183,429",24.70%,,"322,632",43.40%,5,,,
VT,"133,592",46.10%,3,"88,122",30.40%,,,,
VA,"1,038,650",40.60%,,"1,150,517",45.00%,13,,,
WA,"993,037",43.40%,11,"731,234",32.00%,,,,
WV,"331,001",48.40%,5,"241,974",35.40%,,,,
WI,"1,041,066",41.10%,11,"930,855",36.80%,,,,
WY,"68,160",34.00%,,"79,347",39.60%,3,,,
,,,,,,,,,
