Coal total end-use consumption.                     Billion Btu
    StateCode                 Base         FactorChange                  New  BaseProportionOfTotal  NewProportionOfTotal  ChangeCompositionOfProportion        BasePerCapita         NewPerCapita      ChangePerCapita  PercChangePerCapita
0         AL          145,879.000                0.476           69,477.000                  0.013                 0.014                          0.000                0.036                0.014               -0.022              -60.262
1         AR            5,844.000                0.799            4,672.000                  0.088                 0.036                         -0.051                0.011                0.006               -0.004              -40.095
2         AZ           13,254.000                0.410            5,434.000                  0.007                 0.004                         -0.002                0.004                0.001               -0.003              -77.847
3         CA           65,320.000                0.474           30,967.000                  0.014                 0.004                         -0.010                0.028                0.010               -0.017              -62.478
4         CO           16,623.000                0.489            8,135.000                  0.009                 0.004                         -0.005                0.001                0.000               -0.000              -62.400
5         CT              328.000                0.000                0.000                  0.018                 0.005                         -0.012                0.000                0.000               -0.000             -100.000
6         DE            5,896.000                0.000                0.000                  0.000                 0.000                         -0.000                0.002                0.000               -0.002             -100.000
7         FL           30,286.000                0.495           14,984.000                  0.023                 0.000                         -0.023                0.045                0.016               -0.029              -64.885
8         GA           56,701.000                0.215           12,174.000                  0.009                 0.004                         -0.006                0.004                0.001               -0.004              -86.178
9         HI              695.000                1.635            1,136.000                  0.025                 0.004                         -0.021                0.000                0.000                0.000                4.380
10        IA           59,028.000                0.957           56,479.000                  0.002                 0.004                          0.002                0.053                0.040               -0.013              -25.268
11        ID           10,086.000                0.421            4,249.000                  0.062                 0.038                         -0.025                0.010                0.003               -0.007              -74.209
12        IL          156,778.000                0.567           88,907.000                  0.025                 0.008                         -0.017                0.014                0.007               -0.007              -49.413
13        IN          355,136.000                0.481          170,797.000                  0.044                 0.023                         -0.021                0.064                0.026               -0.038              -59.579
14        KS            3,809.000                0.726            2,765.000                  0.142                 0.060                         -0.082                0.001                0.001               -0.000              -35.338
15        KY           90,750.000                0.295           26,751.000                  0.004                 0.003                         -0.001                0.037                0.009               -0.027              -74.842
16        LA           15,963.000                0.233            3,723.000                  0.062                 0.016                         -0.047                0.004                0.001               -0.003              -80.530
17        MA            3,395.000                0.358            1,215.000                  0.004                 0.001                         -0.003                0.001                0.000               -0.001              -67.638
18        MD           58,580.000                0.257           15,042.000                  0.002                 0.001                         -0.002                0.048                0.011               -0.036              -76.196
19        ME            6,605.000                0.112              742.000                  0.046                 0.011                         -0.035                0.001                0.000               -0.001              -91.005
20        MI          124,531.000                0.500           62,291.000                  0.014                 0.002                         -0.013                0.021                0.009               -0.011              -55.591
21        MN           27,014.000                0.653           17,631.000                  0.043                 0.023                         -0.021                0.003                0.002               -0.001              -38.728
22        MO           36,606.000                0.620           22,692.000                  0.019                 0.010                         -0.009                0.008                0.004               -0.004              -50.358
23        MS            6,304.000                0.406            2,562.000                  0.025                 0.012                         -0.012                0.002                0.001               -0.002              -64.934
24        MT            5,113.000                0.982            5,022.000                  0.006                 0.002                         -0.004                0.001                0.001               -0.000              -17.088
25        NC           78,481.000                0.232           18,212.000                  0.015                 0.013                         -0.002                0.098                0.018               -0.080              -82.011
26        ND           88,205.000                1.099           96,899.000                  0.038                 0.007                         -0.031                0.056                0.051               -0.005               -8.240
27        NE            4,563.000                4.641           21,175.000                  0.282                 0.159                         -0.123                0.004                0.007                0.004               96.469
28        NH            1,000.000                0.000                0.000                  0.009                 0.025                          0.016                0.001                0.000               -0.001             -100.000
29        NJ            7,292.000                0.000                0.000                  0.004                 0.000                         -0.004                0.001                0.000               -0.001             -100.000
30        NM              970.000                1.743            1,691.000                  0.003                 0.000                         -0.003                0.001                0.001                0.000               27.563
31        NV            3,990.000                1.709            6,820.000                  0.002                 0.003                          0.001                0.000                0.000                0.000               55.987
32        NY           89,391.000                0.216           19,284.000                  0.010                 0.010                          0.001                0.013                0.002               -0.011              -85.674
33        OH          263,958.000                0.498          131,417.000                  0.024                 0.005                         -0.019                0.414                0.174               -0.240              -58.039
34        OK           12,698.000                0.908           11,527.000                  0.070                 0.035                         -0.035                0.001                0.001               -0.000              -15.018
35        OR            1,469.000                1.609            2,364.000                  0.009                 0.007                         -0.002                0.000                0.001                0.000               29.704
36        PA          414,998.000                0.505          209,586.000                  0.002                 0.002                          0.001                0.145                0.052               -0.093              -64.115
