Hydropower, total end-use consumption.                            Billion Btu
    StateCode                 Base         FactorChange                  New  BaseProportionOfTotal  NewProportionOfTotal  ChangeCompositionOfProportion        BasePerCapita         NewPerCapita      ChangePerCapita  PercChangePerCapita
0         AL                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
1         AR                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
2         AZ                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
3         CA               77.000                0.416               32.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000              -67.108
4         CO                0.000                  inf               60.000                  0.000                 0.000                         -0.000                0.000                0.000                0.000                  inf
5         CT               78.000                0.000                0.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000             -100.000
6         DE                0.000                  nan                0.000                  0.000                 0.000                         -0.000                0.000                0.000                0.000                  nan
7         FL                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
8         GA              379.000                0.522              198.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000              -66.368
9         HI              591.000                0.924              546.000                  0.000                 0.000                         -0.000                0.000                0.000               -0.000              -41.003
10        IA                0.000                  nan                0.000                  0.002                 0.002                          0.000                0.000                0.000                0.000                  nan
11        ID                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
12        IL                0.000                  inf               14.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
13        IN                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
14        KS                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
15        KY                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
16        LA                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
17        MA              117.000                0.821               96.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000              -25.804
18        MD                0.000                  nan                0.000                  0.000                 0.000                         -0.000                0.000                0.000                0.000                  nan
19        ME           13,982.000                0.260            3,632.000                  0.000                 0.000                          0.000                0.003                0.001               -0.002              -79.202
20        MI              240.000                1.167              280.000                  0.031                 0.009                         -0.022                0.000                0.000                0.000                3.580
21        MN            1,786.000                0.601            1,074.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000              -43.546
22        MO                0.000                  nan                0.000                  0.001                 0.001                         -0.001                0.000                0.000                0.000                  nan
23        MS                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
24        MT                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
25        NC              282.000                0.362              102.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000              -71.961
26        ND                0.000                  nan                0.000                  0.000                 0.000                         -0.000                0.000                0.000                0.000                  nan
27        NE                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
28        NH            1,823.000                0.000                0.000                  0.000                 0.000                          0.000                0.002                0.000               -0.002             -100.000
29        NJ                0.000                  nan                0.000                  0.007                 0.000                         -0.007                0.000                0.000                0.000                  nan
30        NM                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
31        NV                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
32        NY            1,416.000                0.436              618.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000              -71.017
33        OH                0.000                  nan                0.000                  0.000                 0.000                         -0.000                0.000                0.000                0.000                  nan
34        OK                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
35        OR                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
36        PA                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
37        RI                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
38        SC               25.000                0.880               22.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000              -16.167
39        SD                0.000                  nan                0.000                  0.000                 0.000                         -0.000                0.000                0.000                0.000                  nan
40        TN                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
41        TX                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
42        US           32,379.000                0.416           13,460.000                  0.000                 0.000                          0.000                0.002                0.000               -0.001              -74.150
43        UT                0.000                  nan                0.000                  0.000                 0.000                         -0.000                0.000                0.000                0.000                  nan
44        VA                0.000                  inf              115.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
45        VT              177.000                0.000                0.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000             -100.000
46        WA            2,852.000                0.000                0.000                  0.001                 0.000                         -0.001                0.001                0.000               -0.001             -100.000
47        WI            2,214.000                0.686            1,519.000                  0.001                 0.000                         -0.001                0.001                0.001               -0.000              -33.180
48        WV            6,341.000                0.812            5,151.000                  0.001                 0.001                         -0.001                0.001                0.001               -0.000              -30.921
49        WY                0.000                  nan                0.000                  0.009                 0.007                         -0.002                0.000                0.000                0.000                  nan
50        US           32,379.000                0.416           13,460.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000              -67.663
