Solar energy, total end-use consumption.                              Billion Btu
    StateCode                 Base         FactorChange                  New  BaseProportionOfTotal  NewProportionOfTotal  ChangeCompositionOfProportion        BasePerCapita         NewPerCapita      ChangePerCapita  PercChangePerCapita
0         AL              138.000                0.732              101.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000              -38.934
1         AR            1,281.000                0.090              115.000                  0.000                 0.000                         -0.000                0.002                0.000               -0.002              -93.273
2         AZ            3,619.000                4.478           16,205.000                  0.001                 0.000                         -0.001                0.001                0.002                0.001              141.949
3         CA           18,215.000                4.099           74,670.000                  0.004                 0.011                          0.007                0.008                0.025                0.017              224.453
4         CO              154.000               26.292            4,049.000                  0.002                 0.010                          0.007                0.000                0.000                0.000            1,920.092
5         CT               66.000               42.212            2,786.000                  0.000                 0.003                          0.003                0.000                0.001                0.000            2,462.630
6         DE               29.000               27.172              788.000                  0.000                 0.004                          0.004                0.000                0.000                0.000            2,395.163
7         FL           25,584.000                1.092           27,947.000                  0.000                 0.003                          0.003                0.038                0.030               -0.009              -22.470
8         GA              105.000               12.210            1,282.000                  0.008                 0.007                         -0.001                0.000                0.000                0.000              686.005
9         HI              885.000                8.863            7,844.000                  0.000                 0.000                          0.000                0.000                0.001                0.001              466.002
10        IA                9.000               46.556              419.000                  0.003                 0.028                          0.025                0.000                0.000                0.000            3,536.234
11        ID                2.000               40.500               81.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            2,379.492
12        IL               53.000               27.774            1,472.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            2,377.536
13        IN               13.000               19.846              258.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            1,568.001
14        KS               36.000                1.944               70.000                  0.000                 0.000                          0.000                0.000                0.000                0.000               73.206
15        KY                3.000               65.667              197.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            5,504.369
16        LA               64.000               23.750            1,520.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            1,882.655
17        MA              193.000               43.290            8,355.000                  0.000                 0.000                          0.000                0.000                0.002                0.002            3,814.565
18        MD               41.000               81.244            3,331.000                  0.000                 0.006                          0.006                0.000                0.003                0.002            7,431.414
19        ME               85.000                3.788              322.000                  0.000                 0.002                          0.002                0.000                0.000                0.000              203.312
20        MI              226.000                3.717              840.000                  0.000                 0.001                          0.001                0.000                0.000                0.000              229.988
21        MN              338.000                1.320              446.000                  0.000                 0.000                          0.000                0.000                0.000                0.000               23.877
22        MO              163.000                8.521            1,389.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              582.402
23        MS                4.000                7.250               29.000                  0.000                 0.001                          0.001                0.000                0.000                0.000              525.552
24        MT                1.000               85.000               85.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            7,075.197
25        NC              161.000               11.137            1,793.000                  0.000                 0.000                          0.000                0.000                0.002                0.002              763.306
26        ND                0.000                  inf                7.000                  0.000                 0.001                          0.001                0.000                0.000                0.000                  inf
27        NE                9.000                4.556               41.000                  0.000                 0.000                          0.000                0.000                0.000                0.000               92.869
28        NH               27.000               10.815              292.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              804.216
29        NJ              399.000               40.990           16,355.000                  0.000                 0.001                          0.001                0.000                0.002                0.002            3,461.334
30        NM              573.000                2.663            1,526.000                  0.000                 0.007                          0.007                0.000                0.001                0.000               94.873
31        NV               62.000               51.742            3,208.000                  0.001                 0.002                          0.001                0.000                0.000                0.000            4,621.940
32        NY              276.000               24.674            6,810.000                  0.000                 0.005                          0.005                0.000                0.001                0.001            1,538.535
33        OH               19.000               63.316            1,203.000                  0.000                 0.002                          0.002                0.000                0.002                0.002            5,236.258
34        OK               89.000                0.640               57.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000              -40.044
35        OR              314.000                7.000            2,198.000                  0.000                 0.000                         -0.000                0.000                0.001                0.000              464.192
36        PA              445.000                7.344            3,268.000                  0.000                 0.002                          0.002                0.000                0.001                0.001              421.822
37        RI               38.000                4.316              164.000                  0.000                 0.001                          0.001                0.000                0.000                0.000              301.586
38        SC               15.000                6.733              101.000                  0.000                 0.001                          0.001                0.000                0.000                0.000              541.452
39        SD                0.000                  inf               10.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
40        TN               60.000               10.150              609.000                  0.000                 0.000                          0.000                0.000                0.001                0.001              724.540
41        TX              370.000                7.241            2,679.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              437.304
42        US           54,938.000                3.614          198,561.000                  0.000                 0.000                          0.000                0.003                0.007                0.004              124.749
43        UT               40.000               17.075              683.000                  0.001                 0.002                          0.001                0.000                0.000                0.000              888.192
44        VA              126.000                6.357              801.000                  0.000                 0.001                          0.001                0.000                0.001                0.001              473.768
45        VT                6.000               99.333              596.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            7,279.963
46        WA              364.000                1.761              641.000                  0.000                 0.005                          0.004                0.000                0.000                0.000               20.588
47        WI              204.000                2.402              490.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              133.933
48        WV               32.000                2.906               93.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              147.142
49        WY                2.000               13.500               27.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              944.123
50        US           54,938.000                3.614          198,561.000                  0.000                 0.000                          0.000                0.000                0.001                0.000              181.151
