Wind energy, total end-use consumption.                             Billion Btu
    StateCode                 Base         FactorChange                  New  BaseProportionOfTotal  NewProportionOfTotal  ChangeCompositionOfProportion        BasePerCapita         NewPerCapita      ChangePerCapita  PercChangePerCapita
0         AL                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
1         AR                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
2         AZ                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
3         CA                0.000                  inf               88.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
4         CO                0.000                  inf               61.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
5         CT                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
6         DE                0.000                  inf               48.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
7         FL                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
8         GA                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
9         HI                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
10        IA                0.000                  inf               24.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
11        ID                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
12        IL                0.000                  inf               48.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
13        IN                0.000                  inf                9.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
14        KS                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
15        KY                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
16        LA                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
17        MA                0.000                  inf              266.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
18        MD                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
19        ME                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
20        MI                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
21        MN                0.000                  inf              271.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
22        MO                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
23        MS                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
24        MT                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
25        NC                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
26        ND                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
27        NE                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
28        NH                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
29        NJ                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
30        NM                0.000                  inf               26.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
31        NV                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
32        NY                0.000                  inf               23.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
33        OH                0.000                  inf              316.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
34        OK                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
35        OR                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
36        PA                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
37        RI                0.000                  inf               65.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
38        SC                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
39        SD                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
40        TN                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
41        TX                0.000                  inf              286.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
42        US                0.000                  inf            1,601.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
43        UT                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
44        VA                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
45        VT                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
46        WA                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
47        WI                0.000                  inf               69.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
48        WV                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
49        WY                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
50        US                0.000                  inf            1,601.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
