Biomass total consumption               Billion Btu
    StateCode                 Base         FactorChange                  New  BaseProportionOfTotal  NewProportionOfTotal  ChangeCompositionOfProportion        BasePerCapita         NewPerCapita      ChangePerCapita  PercChangePerCapita
0         AL          145,304.000                1.229          178,649.000                  0.014                 0.009                         -0.005                0.036                0.037                0.001                2.584
1         AR           71,100.000                1.231           87,536.000                  0.087                 0.094                          0.006                0.129                0.119               -0.010               -7.746
2         AZ           13,741.000                2.455           33,730.000                  0.083                 0.083                         -0.000                0.004                0.005                0.001               32.636
3         CA          222,587.000                1.296          288,539.000                  0.015                 0.023                          0.009                0.094                0.097                0.002                2.598
4         CO           11,777.000                3.067           36,124.000                  0.030                 0.038                          0.008                0.000                0.001                0.001              135.670
5         CT           28,711.000                1.217           34,951.000                  0.013                 0.024                          0.012                0.009                0.006               -0.002              -26.097
6         DE            1,569.000                3.913            6,139.000                  0.037                 0.047                          0.009                0.000                0.002                0.001              259.290
7         FL          170,933.000                1.512          258,439.000                  0.006                 0.022                          0.016                0.255                0.274                0.019                7.309
8         GA          188,344.000                1.410          265,648.000                  0.052                 0.061                          0.009                0.014                0.013               -0.001               -9.201
9         HI           25,924.000                0.443           11,485.000                  0.084                 0.093                          0.009                0.004                0.001               -0.003              -71.709
10        IA           64,850.000                3.641          236,141.000                  0.081                 0.041                         -0.040                0.058                0.166                0.107              184.408
11        ID           24,350.000                1.575           38,350.000                  0.069                 0.158                          0.089                0.024                0.023               -0.001               -3.578
12        IL          101,160.000                1.447          146,382.000                  0.060                 0.073                          0.013                0.009                0.011                0.003               29.082
13        IN           55,709.000                2.066          115,072.000                  0.028                 0.037                          0.009                0.010                0.017                0.007               73.606
14        KS           13,652.000                3.233           44,134.000                  0.022                 0.040                          0.018                0.005                0.014                0.009              187.969
15        KY           20,277.000                2.622           53,157.000                  0.013                 0.041                          0.028                0.008                0.018                0.010              123.737
16        LA          118,502.000                1.132          134,094.000                  0.014                 0.031                          0.017                0.032                0.030               -0.002               -5.536
17        MA           52,055.000                1.133           58,973.000                  0.031                 0.031                          0.001                0.012                0.013                0.000                2.444
18        MD           26,519.000                1.925           51,036.000                  0.037                 0.041                          0.004                0.022                0.038                0.017               78.404
19        ME          108,995.000                0.956          104,184.000                  0.021                 0.036                          0.016                0.023                0.017               -0.005              -23.467
20        MI           84,428.000                1.625          137,163.000                  0.238                 0.257                          0.018                0.014                0.020                0.006               44.237
21        MN           51,571.000                3.016          155,541.000                  0.029                 0.050                          0.020                0.006                0.016                0.010              183.147
22        MO           20,139.000                3.452           69,529.000                  0.037                 0.088                          0.051                0.005                0.013                0.008              176.474
23        MS           84,840.000                0.843           71,514.000                  0.014                 0.038                          0.024                0.033                0.024               -0.009              -27.270
24        MT           11,767.000                0.766            9,013.000                  0.082                 0.063                         -0.019                0.002                0.001               -0.001              -35.343
25        NC           97,501.000                1.470          143,360.000                  0.034                 0.023                         -0.011                0.122                0.139                0.017               13.980
26        ND            3,273.000                9.031           29,559.000                  0.047                 0.057                          0.009                0.002                0.016                0.014              654.345
27        NE            7,757.000               14.411          111,788.000                  0.010                 0.049                          0.038                0.006                0.039                0.032              510.129
28        NH           27,230.000                1.567           42,680.000                  0.015                 0.131                          0.116                0.024                0.032                0.008               31.048
29        NJ           25,351.000                2.509           63,609.000                  0.102                 0.140                          0.038                0.003                0.007                0.004              118.001
30        NM            5,892.000                2.728           16,076.000                  0.011                 0.028                          0.017                0.004                0.008                0.004               99.649
31        NV            3,253.000                3.709           12,064.000                  0.010                 0.024                          0.014                0.000                0.001                0.000              238.443
32        NY           97,387.000                1.298          126,371.000                  0.008                 0.019                          0.011                0.015                0.013               -0.002              -13.828
33        OH           77,705.000                1.554          120,744.000                  0.026                 0.034                          0.008                0.122                0.160                0.038               30.961
34        OK           21,420.000                1.933           41,395.000                  0.021                 0.032                          0.012                0.002                0.004                0.002               80.914
35        OR           57,715.000                1.310           75,633.000                  0.015                 0.025                          0.010                0.018                0.019                0.001                5.621
36        PA           61,362.000                2.283          140,059.000                  0.059                 0.079                          0.020                0.021                0.035                0.013               62.185
37        RI            4,357.000                1.580            6,886.000                  0.017                 0.036                          0.019                0.000                0.001                0.000               47.061
38        SC           72,214.000                1.619          116,929.000                  0.020                 0.034                          0.013                0.072                0.111                0.039               54.253
39        SD            3,204.000               19.406           62,176.000                  0.057                 0.071                          0.014                0.001                0.013                0.012            1,287.937
40        TN           60,744.000                1.605           97,474.000                  0.015                 0.162                          0.147                0.087                0.114                0.026               30.356
41        TX           98,022.000                2.200          215,666.000                  0.034                 0.045                          0.011                0.020                0.033                0.013               63.270
42        US        2,736,982.000                1.650        4,516,058.000                  0.010                 0.017                          0.007                0.160                0.165                0.004                2.604
43        UT            3,445.000                3.406           11,733.000                  0.032                 0.046                          0.014                0.002                0.004                0.002               97.106
44        VA           92,001.000                1.631          150,045.000                  0.006                 0.015                          0.008                0.163                0.240                0.077               47.198
45        VT            5,278.000                3.436           18,136.000                  0.047                 0.063                          0.017                0.001                0.002                0.001              155.289
46        WA           94,426.000                1.287          121,494.000                  0.042                 0.137                          0.096                0.019                0.017               -0.002              -11.893
47        WI           82,007.000                1.580          129,539.000                  0.046                 0.061                          0.015                0.046                0.070                0.025               53.842
48        WV            5,009.000                5.120           25,647.000                  0.055                 0.073                          0.018                0.001                0.004                0.003              335.411
49        WY            2,173.000                2.133            4,634.000                  0.007                 0.033                          0.026                0.005                0.008                0.003               64.935
50        US        2,736,982.000                1.650        4,516,058.000                  0.005                 0.009                          0.003                0.011                0.014                0.003               28.353
