Coal total consumption.             Billion Btu
    StateCode                 Base         FactorChange                  New  BaseProportionOfTotal  NewProportionOfTotal  ChangeCompositionOfProportion        BasePerCapita         NewPerCapita      ChangePerCapita  PercChangePerCapita
0         AL          682,496.000                0.724          494,311.000                  0.021                 0.031                          0.010                0.169                0.102               -0.067              -39.570
1         AR          212,707.000                1.067          226,889.000                  0.410                 0.259                         -0.151                0.385                0.307               -0.077              -20.072
2         AZ          343,415.000                1.123          385,822.000                  0.249                 0.215                         -0.034                0.093                0.057               -0.037              -39.294
3         CA           84,160.000                0.368           30,967.000                  0.366                 0.268                         -0.098                0.036                0.010               -0.025              -70.878
4         CO          337,375.000                1.008          340,107.000                  0.011                 0.004                         -0.007                0.011                0.009               -0.003              -22.545
5         CT           38,511.000                0.170            6,536.000                  0.362                 0.230                         -0.132                0.012                0.001               -0.010              -89.697
6         DE           59,491.000                0.120            7,149.000                  0.050                 0.009                         -0.041                0.018                0.002               -0.016              -88.965
7         FL          633,390.000                0.737          466,530.000                  0.233                 0.026                         -0.207                0.945                0.494               -0.451              -47.723
8         GA          714,128.000                0.553          394,665.000                  0.193                 0.110                         -0.083                0.055                0.019               -0.035              -64.422
9         HI              721.000               21.681           15,632.000                  0.320                 0.138                         -0.182                0.000                0.002                0.001            1,284.531
10        IA          334,999.000                1.040          348,293.000                  0.002                 0.055                          0.053                0.301                0.244               -0.057              -18.795
11        ID           10,086.000                0.421            4,249.000                  0.354                 0.233                         -0.121                0.010                0.003               -0.007              -74.209
12        IL          748,159.000                1.137          850,430.000                  0.025                 0.008                         -0.017                0.065                0.066                0.001                1.399
13        IN        1,361,800.000                0.740        1,007,472.000                  0.209                 0.216                          0.007                0.245                0.152               -0.093              -37.822
14        KS          271,741.000                1.006          273,416.000                  0.546                 0.354                         -0.192                0.098                0.088               -0.010              -10.373
15        KY          803,503.000                0.991          796,484.000                  0.255                 0.253                         -0.002                0.324                0.274               -0.050              -15.400
16        LA          208,871.000                0.834          174,221.000                  0.549                 0.462                         -0.088                0.057                0.039               -0.017              -30.368
17        MA          114,004.000                0.212           24,177.000                  0.054                 0.041                         -0.013                0.027                0.005               -0.022              -80.823
18        MD          286,482.000                0.579          165,994.000                  0.081                 0.017                         -0.064                0.233                0.125               -0.108              -46.287
19        ME           10,413.000                0.249            2,588.000                  0.226                 0.119                         -0.107                0.002                0.000               -0.002              -80.101
20        MI          788,043.000                0.783          617,280.000                  0.023                 0.006                         -0.016                0.131                0.091               -0.040              -30.456
21        MN          325,469.000                0.834          271,570.000                  0.274                 0.223                         -0.051                0.035                0.027               -0.008              -21.667
22        MO          539,572.000                1.291          696,401.000                  0.232                 0.153                         -0.079                0.123                0.127                0.004                3.356
23        MS          103,944.000                0.689           71,626.000                  0.364                 0.381                          0.018                0.040                0.024               -0.016              -40.544
24        MT          168,848.000                1.057          178,421.000                  0.101                 0.063                         -0.038                0.033                0.029               -0.004              -10.800
25        NC          568,294.000                0.714          405,525.000                  0.486                 0.456                         -0.030                0.710                0.393               -0.317              -44.683
26        ND          374,517.000                1.090          408,091.000                  0.276                 0.161                         -0.116                0.237                0.215               -0.021               -8.985
