Hydropower, total consumed.                 Billion Btu
    StateCode                 Base         FactorChange                  New  BaseProportionOfTotal  NewProportionOfTotal  ChangeCompositionOfProportion        BasePerCapita         NewPerCapita      ChangePerCapita  PercChangePerCapita
0         AL          107,832.000                0.852           91,902.000                  0.017                 0.024                          0.006                0.027                0.019               -0.008              -28.890
1         AR           38,016.000                0.875           33,261.000                  0.065                 0.048                         -0.017                0.069                0.045               -0.024              -34.440
2         AZ           77,158.000                0.789           60,906.000                  0.044                 0.032                         -0.013                0.021                0.009               -0.012              -57.348
3         CA          247,490.000                0.520          128,681.000                  0.082                 0.042                         -0.040                0.105                0.043               -0.062              -58.848
4         CO           14,769.000                1.022           15,098.000                  0.033                 0.017                         -0.016                0.000                0.000               -0.000              -21.456
5         CT            5,936.000                0.475            2,819.000                  0.016                 0.010                         -0.006                0.002                0.001               -0.001              -71.170
6         DE                0.000                  nan                0.000                  0.008                 0.004                         -0.004                0.000                0.000                0.000                  nan
7         FL            1,816.000                1.254            2,277.000                  0.000                 0.000                          0.000                0.003                0.002               -0.000              -11.008
8         GA           47,736.000                0.582           27,804.000                  0.001                 0.001                         -0.000                0.004                0.001               -0.002              -62.504
9         HI              827.000                1.365            1,129.000                  0.021                 0.010                         -0.012                0.000                0.000               -0.000              -12.821
10        IA            9,103.000                0.983            8,948.000                  0.003                 0.004                          0.001                0.008                0.006               -0.002              -23.225
11        ID           94,814.000                0.861           81,603.000                  0.010                 0.006                         -0.004                0.094                0.049               -0.044              -47.308
12        IL            1,497.000                0.775            1,160.000                  0.234                 0.156                         -0.078                0.000                0.000               -0.000              -30.877
13        IN            4,588.000                0.774            3,553.000                  0.000                 0.000                         -0.000                0.001                0.001               -0.000              -34.913
14        KS              138.000                1.283              177.000                  0.002                 0.001                         -0.001                0.000                0.000                0.000               14.252
15        KY           32,874.000                0.965           31,717.000                  0.000                 0.000                          0.000                0.013                0.011               -0.002              -17.658
16        LA            6,829.000                1.363            9,310.000                  0.022                 0.018                         -0.004                0.002                0.002                0.000               13.809
17        MA           12,995.000                0.593            7,709.000                  0.002                 0.002                          0.000                0.003                0.002               -0.001              -46.357
18        MD           23,913.000                0.633           15,127.000                  0.009                 0.005                         -0.004                0.019                0.011               -0.008              -41.359
19        ME           42,550.000                0.736           31,317.000                  0.019                 0.011                         -0.008                0.009                0.005               -0.004              -41.071
20        MI           16,934.000                0.825           13,971.000                  0.093                 0.077                         -0.016                0.003                0.002               -0.001              -26.752
21        MN            8,915.000                0.887            7,912.000                  0.006                 0.005                         -0.001                0.001                0.001               -0.000              -16.682
22        MO           22,802.000                0.652           14,864.000                  0.006                 0.004                         -0.002                0.005                0.003               -0.002              -47.798
23        MS                0.000                  nan                0.000                  0.015                 0.008                         -0.007                0.000                0.000                0.000                  nan
24        MT          111,476.000                0.827           92,144.000                  0.000                 0.000                          0.000                0.022                0.015               -0.007              -30.225
25        NC           70,936.000                0.623           44,191.000                  0.321                 0.235                         -0.085                0.089                0.043               -0.046              -51.708
26        ND           17,799.000                1.096           19,516.000                  0.035                 0.018                         -0.017                0.011                0.010               -0.001               -8.416
27        NE           11,859.000                1.324           15,702.000                  0.057                 0.032                         -0.025                0.010                0.005               -0.004              -43.943
28        NH           19,567.000                0.605           11,837.000                  0.023                 0.018                         -0.004                0.018                0.009               -0.009              -49.421
29        NJ              326.000                0.273               89.000                  0.073                 0.039                         -0.034                0.000                0.000               -0.000              -76.280
30        NM            2,137.000                0.434              927.000                  0.000                 0.000                         -0.000                0.001                0.000               -0.001              -68.259
31        NV           18,048.000                1.169           21,099.000                  0.004                 0.001                         -0.002                0.001                0.001                0.000                6.687
32        NY          293,214.000                0.827          242,429.000                  0.045                 0.032                         -0.012                0.044                0.024               -0.020              -45.094
33        OH            1,887.000                2.255            4,256.000                  0.078                 0.065                         -0.013                0.003                0.006                0.003               90.088
34        OK           28,404.000                0.874           24,825.000                  0.001                 0.001                          0.001                0.003                0.002               -0.000              -18.181
35        OR          428,982.000                0.679          291,255.000                  0.021                 0.015                         -0.005                0.136                0.075               -0.062              -45.278
36        PA           29,845.000                0.813           24,264.000                  0.439                 0.304                         -0.134                0.010                0.006               -0.004              -42.232
37        RI              103.000                0.282               29.000                  0.008                 0.006                         -0.002                0.000                0.000               -0.000              -73.801
38        SC           34,306.000                0.697           23,897.000                  0.000                 0.000                         -0.000                0.034                0.023               -0.011              -33.640
39        SD           40,926.000                1.104           45,202.000                  0.027                 0.014                         -0.013                0.012                0.009               -0.002              -21.005
40        TN          104,180.000                0.857           89,288.000                  0.188                 0.118                         -0.070                0.149                0.104               -0.045              -30.377
41        TX           18,657.000                0.478            8,913.000                  0.058                 0.041                         -0.017                0.004                0.001               -0.002              -64.549
42        US        3,046,391.000                0.762        2,321,177.000                  0.002                 0.001                         -0.001                0.179                0.085               -0.094              -52.620
43        UT            5,289.000                1.355            7,164.000                  0.036                 0.024                         -0.012                0.003                0.002               -0.001              -21.610
44        VA           13,621.000                0.793           10,795.000                  0.010                 0.009                         -0.001                0.024                0.017               -0.007              -28.470
45        VT           14,199.000                0.748           10,619.000                  0.007                 0.005                         -0.002                0.002                0.001               -0.001              -44.437
46        WA          909,829.000                0.752          684,060.000                  0.113                 0.080                         -0.032                0.186                0.096               -0.090              -48.515
47        WI           20,954.000                1.041           21,813.000                  0.445                 0.344                         -0.101                0.012                0.012                0.000                1.385
48        WV           13,471.000                0.958           12,907.000                  0.014                 0.012                         -0.002                0.003                0.002               -0.001              -18.522
49        WY            6,705.000                1.207            8,091.000                  0.019                 0.017                         -0.002                0.015                0.014               -0.001               -6.670
