Renewable energy total consumption.                         Billion Btu
    StateCode                 Base         FactorChange                  New  BaseProportionOfTotal  NewProportionOfTotal  ChangeCompositionOfProportion        BasePerCapita         NewPerCapita      ChangePerCapita  PercChangePerCapita
0         AL          253,287.000                1.069          270,793.000                  0.031                 0.035                          0.004                0.063                0.056               -0.007              -10.797
1         AR          110,505.000                1.102          121,730.000                  0.152                 0.142                         -0.010                0.200                0.165               -0.035              -17.456
2         AZ           94,753.000                1.556          147,409.000                  0.129                 0.115                         -0.014                0.026                0.022               -0.004              -15.939
3         CA          672,951.000                1.272          855,828.000                  0.101                 0.102                          0.001                0.286                0.287                0.002                0.656
4         CO           27,106.000                4.719          127,911.000                  0.090                 0.111                          0.021                0.001                0.003                0.002              262.566
5         CT           34,712.000                1.174           40,738.000                  0.029                 0.086                          0.057                0.010                0.007               -0.003              -28.753
6         DE            1,653.000                4.747            7,847.000                  0.045                 0.054                          0.009                0.001                0.002                0.002              335.915
7         FL          199,621.000                1.507          300,790.000                  0.006                 0.028                          0.022                0.298                0.319                0.021                6.945
8         GA          236,225.000                1.254          296,226.000                  0.061                 0.071                          0.010                0.018                0.015               -0.003              -19.272
9         HI           27,937.000                1.032           28,830.000                  0.106                 0.104                         -0.002                0.004                0.003               -0.001              -34.100
10        IA           74,025.000                5.584          413,344.000                  0.087                 0.102                          0.015                0.067                0.290                0.224              336.128
11        ID          119,701.000                1.198          143,396.000                  0.078                 0.277                          0.198                0.118                0.087               -0.032              -26.659
12        IL          102,981.000                2.444          251,670.000                  0.295                 0.273                         -0.022                0.009                0.020                0.011              118.003
13        IN           60,812.000                2.747          167,061.000                  0.029                 0.064                          0.035                0.011                0.025                0.014              130.890
14        KS           13,869.000               10.662          147,866.000                  0.024                 0.059                          0.034                0.005                0.047                0.042              849.711
15        KY           53,391.000                1.644           87,783.000                  0.013                 0.137                          0.124                0.022                0.030                0.009               40.321
16        LA          125,516.000                1.169          146,766.000                  0.036                 0.051                          0.014                0.034                0.033               -0.001               -2.386
17        MA           65,263.000                1.258           82,074.000                  0.033                 0.034                          0.002                0.015                0.018                0.002               13.719
18        MD           50,546.000                1.487           75,157.000                  0.046                 0.057                          0.010                0.041                0.057                0.016               37.838
19        ME          151,630.000                0.976          147,971.000                  0.040                 0.054                          0.014                0.032                0.025               -0.007              -21.865
20        MI          102,166.000                1.976          201,880.000                  0.332                 0.365                          0.033                0.017                0.030                0.013               75.434
21        MN           60,972.000                4.201          256,129.000                  0.036                 0.073                          0.037                0.007                0.026                0.019              294.367
22        MO           43,149.000                2.223           95,915.000                  0.044                 0.145                          0.101                0.010                0.017                0.008               78.009
23        MS           84,868.000                0.854           72,502.000                  0.029                 0.053                          0.023                0.033                0.024               -0.009              -26.289
24        MT          123,371.000                0.972          119,888.000                  0.082                 0.064                         -0.018                0.024                0.020               -0.004              -17.969
25        NC          168,721.000                1.200          202,387.000                  0.355                 0.306                         -0.049                0.211                0.196               -0.015               -7.013
26        ND           21,154.000                5.232          110,685.000                  0.082                 0.080                         -0.002                0.013                0.058                0.045              337.042
27        NE           19,705.000                8.038          158,382.000                  0.068                 0.182                          0.114                0.016                0.055                0.039              240.290
28        NH           46,824.000                1.255           58,785.000                  0.037                 0.186                          0.148                0.042                0.044                0.002                4.967
29        NJ           26,139.000                3.264           85,323.000                  0.175                 0.193                          0.018                0.003                0.010                0.006              183.604
