Solar energy, total consumed.                   Billion Btu
    StateCode                 Base         FactorChange                  New  BaseProportionOfTotal  NewProportionOfTotal  ChangeCompositionOfProportion        BasePerCapita         NewPerCapita      ChangePerCapita  PercChangePerCapita
0         AL              138.000                0.732              101.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000              -38.934
1         AR            1,281.000                0.097              124.000                  0.000                 0.000                         -0.000                0.002                0.000               -0.002              -92.747
2         AZ            3,619.000               13.323           48,215.000                  0.001                 0.000                         -0.001                0.001                0.007                0.006              619.874
3         CA           22,029.000                9.613          211,763.000                  0.004                 0.033                          0.030                0.009                0.071                0.062              660.834
4         CO              154.000               40.708            6,269.000                  0.003                 0.028                          0.025                0.000                0.000                0.000            3,027.675
5         CT               66.000               44.667            2,948.000                  0.000                 0.004                          0.004                0.000                0.001                0.001            2,611.641
6         DE               29.000               42.414            1,230.000                  0.000                 0.004                          0.004                0.000                0.000                0.000            3,794.734
7         FL           25,584.000                1.173           30,019.000                  0.000                 0.004                          0.004                0.038                0.032               -0.006              -16.722
8         GA              105.000               23.419            2,459.000                  0.008                 0.007                         -0.001                0.000                0.000                0.000            1,407.634
9         HI              885.000                9.436            8,351.000                  0.000                 0.001                          0.001                0.000                0.001                0.001              502.586
10        IA                9.000               46.556              419.000                  0.003                 0.030                          0.027                0.000                0.000                0.000            3,536.234
11        ID                2.000               40.500               81.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            2,379.492
12        IL               53.000               36.453            1,932.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            3,151.766
13        IN               13.000              131.769            1,713.000                  0.000                 0.000                          0.000                0.000                0.000                0.000           10,974.753
14        KS               36.000                2.417               87.000                  0.000                 0.001                          0.001                0.000                0.000                0.000              115.271
15        KY                3.000               65.667              197.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            5,504.369
16        LA               64.000               23.750            1,520.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            1,882.655
17        MA              193.000               64.943           12,534.000                  0.000                 0.000                          0.000                0.000                0.003                0.003            5,772.550
18        MD               41.000              106.707            4,375.000                  0.000                 0.009                          0.009                0.000                0.003                0.003            9,791.905
19        ME               85.000                3.788              322.000                  0.000                 0.003                          0.003                0.000                0.000                0.000              203.312
20        MI              226.000                3.765              851.000                  0.000                 0.001                          0.001                0.000                0.000                0.000              234.309
21        MN              338.000                1.396              472.000                  0.000                 0.000                          0.000                0.000                0.000                0.000               31.098
22        MO              163.000                9.460            1,542.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              657.569
23        MS                4.000                7.250               29.000                  0.000                 0.001                          0.001                0.000                0.000                0.000              525.552
24        MT                1.000               85.000               85.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            7,075.197
25        NC              161.000               86.143           13,869.000                  0.000                 0.000                          0.000                0.000                0.013                0.013            6,577.741
26        ND                0.000                  inf                7.000                  0.000                 0.005                          0.005                0.000                0.000                0.000                  inf
27        NE                9.000                4.556               41.000                  0.000                 0.000                          0.000                0.000                0.000                0.000               92.869
28        NH               27.000               10.815              292.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              804.216
29        NJ              399.000               52.526           20,958.000                  0.000                 0.001                          0.001                0.000                0.002                0.002            4,463.646
30        NM              573.000               12.663            7,256.000                  0.000                 0.009                          0.009                0.000                0.003                0.003              826.604
31        NV               62.000              293.742           18,212.000                  0.001                 0.011                          0.010                0.000                0.001                0.001           26,706.722
32        NY              276.000               27.982            7,723.000                  0.000                 0.028                          0.028                0.000                0.001                0.001            1,758.209
33        OH               19.000               88.263            1,677.000                  0.000                 0.002                          0.002                0.000                0.002                0.002            7,338.824
34        OK               89.000                0.798               71.000                  0.000                 0.000                          0.000                0.000                0.000               -0.000              -25.319
35        OR              314.000                7.720            2,424.000                  0.000                 0.000                         -0.000                0.000                0.001                0.001              522.203
36        PA              445.000                8.438            3,755.000                  0.000                 0.003                          0.002                0.000                0.001                0.001              499.584
37        RI               38.000                7.816              297.000                  0.000                 0.001                          0.001                0.000                0.000                0.000              627.262
38        SC               15.000                9.333              140.000                  0.000                 0.001                          0.001                0.000                0.000                0.000              789.141
39        SD                0.000                  inf               10.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
40        TN               60.000               21.550            1,293.000                  0.000                 0.000                          0.000                0.000                0.002                0.001            1,650.624
41        TX              374.000               17.099            6,395.000                  0.000                 0.001                          0.001                0.000                0.001                0.001            1,168.873
42        US           58,756.000                7.258          426,463.000                  0.000                 0.000                          0.000                0.003                0.016                0.012              351.342
43        UT               40.000               24.500              980.000                  0.001                 0.004                          0.004                0.000                0.000                0.000            1,317.904
44        VA              127.000                6.307              801.000                  0.000                 0.001                          0.001                0.000                0.001                0.001              469.250
45        VT                6.000              174.000            1,044.000                  0.000                 0.000                          0.000                0.000                0.000                0.000           12,827.318
46        WA              364.000                1.780              648.000                  0.000                 0.008                          0.008                0.000                0.000                0.000               21.905
47        WI              204.000                2.471              504.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              140.617
48        WV               32.000                2.906               93.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              147.142
49        WY                2.000               13.500               27.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              944.123
50        US           58,756.000                7.258          426,463.000                  0.000                 0.000                          0.000                0.000                0.001                0.001              464.609
