Wind energy, total consumed.                  Billion Btu
    StateCode                 Base         FactorChange                  New  BaseProportionOfTotal  NewProportionOfTotal  ChangeCompositionOfProportion        BasePerCapita         NewPerCapita      ChangePerCapita  PercChangePerCapita
0         AL                0.000                  nan                0.000                  0.000                 0.002                          0.002                0.000                0.000                0.000                  nan
1         AR                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
2         AZ                0.000                  inf            4,213.000                  0.000                 0.000                          0.000                0.000                0.001                0.001                  inf
3         CA           28,698.000                3.971          113,967.000                  0.000                 0.003                          0.003                0.012                0.038                0.026              214.313
4         CO                0.000                  inf           69,662.000                  0.004                 0.015                          0.011                0.000                0.002                0.002                  inf
5         CT                0.000                  nan                0.000                  0.000                 0.047                          0.047                0.000                0.000                0.000                  nan
6         DE                0.000                  inf               48.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
7         FL                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
8         GA                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
9         HI              300.000               19.033            5,710.000                  0.000                 0.000                          0.000                0.000                0.001                0.001            1,115.453
10        IA                0.000                  inf          166,555.000                  0.001                 0.020                          0.019                0.000                0.117                0.117                  inf
11        ID                0.000                  inf           21,156.000                  0.000                 0.111                          0.111                0.000                0.013                0.013                  inf
12        IL                0.000                  inf          100,154.000                  0.000                 0.040                          0.040                0.000                0.008                0.008                  inf
13        IN                0.000                  inf           42,077.000                  0.000                 0.025                          0.025                0.000                0.006                0.006                  inf
14        KS                0.000                  inf          102,495.000                  0.000                 0.015                          0.015                0.000                0.033                0.033                  inf
15        KY                0.000                  nan                0.000                  0.000                 0.095                          0.095                0.000                0.000                0.000                  nan
16        LA                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
17        MA                0.000                  inf            2,000.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
18        MD                0.000                  inf            4,050.000                  0.000                 0.001                          0.001                0.000                0.003                0.003                  inf
19        ME                0.000                  inf           12,075.000                  0.000                 0.003                          0.003                0.000                0.002                0.002                  inf
20        MI                0.000                  inf           44,702.000                  0.000                 0.030                          0.030                0.000                0.007                0.007                  inf
21        MN                3.000           30,376.333           91,129.000                  0.000                 0.016                          0.016                0.000                0.009                0.009        2,851,624.538
22        MO                0.000                  inf            9,627.000                  0.000                 0.051                          0.051                0.000                0.002                0.002                  inf
23        MS                0.000                  nan                0.000                  0.000                 0.005                          0.005                0.000                0.000                0.000                  nan
24        MT                0.000                  inf           18,309.000                  0.000                 0.000                          0.000                0.000                0.003                0.003                  inf
25        NC                0.000                  nan                0.000                  0.000                 0.047                          0.047                0.000                0.000                0.000                  nan
26        ND                0.000                  inf           60,627.000                  0.000                 0.000                          0.000                0.000                0.032                0.032                  inf
27        NE                0.000                  inf           29,639.000                  0.000                 0.100                          0.100                0.000                0.010                0.010                  inf
28        NH                0.000                  inf            3,947.000                  0.000                 0.035                          0.035                0.000                0.003                0.003                  inf
29        NJ                0.000                  inf              201.000                  0.000                 0.013                          0.013                0.000                0.000                0.000                  inf
30        NM                0.000                  inf           19,477.000                  0.000                 0.000                          0.000                0.000                0.009                0.009                  inf
31        NV                0.000                  inf            2,886.000                  0.000                 0.029                          0.029                0.000                0.000                0.000                  inf
32        NY                0.000                  inf           37,061.000                  0.000                 0.004                          0.004                0.000                0.004                0.004                  inf
33        OH                0.000                  inf           11,211.000                  0.000                 0.010                          0.010                0.000                0.015                0.015                  inf
34        OK                0.000                  inf          130,754.000                  0.000                 0.003                          0.003                0.000                0.011                0.011                  inf
35        OR                6.000           10,299.833           61,799.000                  0.000                 0.080                          0.080                0.000                0.016                0.016          830,055.494
36        PA                0.000                  inf           31,244.000                  0.000                 0.065                          0.065                0.000                0.008                0.008                  inf
37        RI                0.000                  inf               94.000                  0.000                 0.008                          0.008                0.000                0.000                0.000                  inf
38        SC                0.000                  nan                0.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  nan
39        SD                0.000                  inf           23,274.000                  0.000                 0.000                          0.000                0.000                0.005                0.005                  inf
40        TN                0.000                  inf              427.000                  0.000                 0.061                          0.061                0.000                0.000                0.000                  inf
41        TX                0.000                  inf          417,802.000                  0.000                 0.000                          0.000                0.000                0.063                0.063                  inf
42        US           29,007.000               61.272        1,777,306.000                  0.000                 0.032                          0.032                0.002                0.065                0.063            3,710.099
43        UT                0.000                  inf            5,833.000                  0.000                 0.018                          0.018                0.000                0.002                0.002                  inf
44        VA                0.000                  nan                0.000                  0.000                 0.007                          0.007                0.000                0.000                0.000                  nan
45        VT                0.000                  inf            3,032.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
46        WA                0.000                  inf           65,936.000                  0.000                 0.023                          0.023                0.000                0.009                0.009                  inf
47        WI                0.000                  inf           14,811.000                  0.000                 0.033                          0.033                0.000                0.008                0.008                  inf
48        WV                0.000                  inf           12,825.000                  0.000                 0.008                          0.008                0.000                0.002                0.002                  inf
49        WY                0.000                  inf           35,009.000                  0.000                 0.017                          0.017                0.000                0.060                0.060                  inf
50        US           29,007.000               61.272        1,777,306.000                  0.000                 0.067                          0.067                0.000                0.006                0.005            4,666.267
